name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
captures/contiguous-letters,count-captures,0.0.1 (rev c050f4a04c),re2,2023-03-01,,61436,303,4.51s,9.89ms,0.00ns,9.90ms,72.91us,9.74ms,10.21ms
curated/01-literal/sherlock-en,count,0.0.1 (rev c050f4a04c),re2,2023-03-01,,899232,39712,4.57s,75.24us,0.00ns,75.51us,1.70us,70.29us,93.08us
curated/01-literal/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),re2,2023-03-01,,899232,8766,4.51s,341.90us,0.00ns,342.21us,1.71us,336.32us,356.61us
curated/01-literal/sherlock-ru,count,0.0.1 (rev c050f4a04c),re2,2023-03-01,,1570556,1527,4.51s,1.97ms,0.00ns,1.97ms,6.06us,1.96ms,2.05ms
curated/01-literal/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),re2,2023-03-01,,1570556,1891,4.51s,1.59ms,0.00ns,1.59ms,2.87us,1.58ms,1.61ms
curated/01-literal/sherlock-zh,count,0.0.1 (rev c050f4a04c),re2,2023-03-01,,813478,10844,4.51s,276.40us,0.00ns,276.63us,1.02us,274.94us,289.70us
curated/02-literal-alternate/sherlock-en,count,0.0.1 (rev c050f4a04c),re2,2023-03-01,,899232,3228,4.51s,929.04us,1.00ns,929.56us,1.99us,925.77us,948.38us
curated/02-literal-alternate/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),re2,2023-03-01,,899232,3227,4.51s,929.55us,0.00ns,929.81us,1.73us,926.67us,946.11us
curated/02-literal-alternate/sherlock-ru,count,0.0.1 (rev c050f4a04c),re2,2023-03-01,,1570556,1869,4.51s,1.60ms,0.00ns,1.61ms,3.00us,1.60ms,1.64ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),re2,2023-03-01,,1570556,1859,4.51s,1.61ms,0.00ns,1.61ms,2.51us,1.61ms,1.64ms
curated/02-literal-alternate/sherlock-zh,count,0.0.1 (rev c050f4a04c),re2,2023-03-01,,813478,3733,4.51s,803.13us,0.00ns,803.64us,1.66us,801.52us,820.47us
curated/03-date/ascii,count-spans,0.0.1 (rev c050f4a04c),re2,2023-03-01,,268796,881,4.51s,3.41ms,0.00ns,3.41ms,30.21us,3.32ms,3.53ms
curated/03-date/compile-ascii,compile,0.0.1 (rev c050f4a04c),re2,2023-03-01,,,1722,4.51s,1.15ms,0.00ns,1.15ms,6.45us,1.12ms,1.17ms
curated/04-ruff-noqa/real,grep-captures,0.0.1 (rev c050f4a04c),re2,2023-03-01,,32514634,52,4.56s,58.09ms,1.50us,58.11ms,154.33us,57.89ms,58.74ms
curated/04-ruff-noqa/tweaked,grep-captures,0.0.1 (rev c050f4a04c),re2,2023-03-01,,32514634,69,4.61s,43.85ms,0.00ns,43.86ms,109.04us,43.61ms,44.16ms
curated/04-ruff-noqa/compile-real,compile,0.0.1 (rev c050f4a04c),re2,2023-03-01,,,196177,4.62s,7.66us,0.00ns,7.67us,160.00ns,7.17us,15.71us
curated/05-lexer-veryl/single,count-captures,0.0.1 (rev c050f4a04c),re2,2023-03-01,,150600,26,4.71s,119.68ms,4.63us,119.70ms,240.00us,119.13ms,120.25ms
curated/05-lexer-veryl/compile-single,compile,0.0.1 (rev c050f4a04c),re2,2023-03-01,,,11553,4.51s,147.05us,0.00ns,147.00us,4.35us,134.25us,163.89us
curated/06-cloud-flare-redos/original,count-spans,0.0.1 (rev c050f4a04c),re2,2023-03-01,,107,1000000,1.09s,294.00ns,0.00ns,295.00ns,19.00ns,287.00ns,9.54us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.0.1 (rev c050f4a04c),re2,2023-03-01,,102,1000000,1.03s,299.00ns,0.00ns,301.00ns,27.00ns,287.00ns,23.81us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.0.1 (rev c050f4a04c),re2,2023-03-01,,10001,154912,4.57s,19.32us,0.00ns,19.34us,112.00ns,19.29us,24.23us
curated/07-unicode-character-data/parse-line,grep-captures,0.0.1 (rev c050f4a04c),re2,2023-03-01,,1913704,181,4.56s,16.65ms,0.00ns,16.66ms,133.94us,16.43ms,17.09ms
curated/07-unicode-character-data/compile,compile,0.0.1 (rev c050f4a04c),re2,2023-03-01,,,159048,4.62s,14.89us,0.00ns,14.90us,184.00ns,14.25us,20.49us
curated/08-words/all-english,count-spans,0.0.1 (rev c050f4a04c),re2,2023-03-01,,76401,2624,4.51s,1.14ms,5.00ns,1.14ms,18.42us,1.10ms,1.23ms
curated/08-words/long-english,count-spans,0.0.1 (rev c050f4a04c),re2,2023-03-01,,76401,37865,4.57s,79.12us,0.00ns,79.20us,393.00ns,78.83us,85.68us
curated/09-aws-keys/full,grep-captures,0.0.1 (rev c050f4a04c),re2,2023-03-01,,32514634,52,4.61s,58.18ms,7.30us,58.16ms,163.07us,57.64ms,58.51ms
curated/09-aws-keys/quick,grep,0.0.1 (rev c050f4a04c),re2,2023-03-01,,32514634,97,4.61s,31.12ms,0.00ns,31.14ms,122.85us,30.93ms,31.61ms
curated/09-aws-keys/compile-full,compile,0.0.1 (rev c050f4a04c),re2,2023-03-01,,,17626,4.51s,70.78us,0.00ns,70.90us,2.23us,62.92us,80.80us
curated/09-aws-keys/compile-quick,compile,0.0.1 (rev c050f4a04c),re2,2023-03-01,,,141244,4.57s,9.02us,0.00ns,9.04us,172.00ns,8.50us,13.26us
curated/10-bounded-repeat/letters-en,count,0.0.1 (rev c050f4a04c),re2,2023-03-01,,151522,10276,4.51s,291.92us,1.00ns,291.94us,2.41us,286.53us,303.40us
curated/10-bounded-repeat/letters-ru,count,0.0.1 (rev c050f4a04c),re2,2023-03-01,,248919,84,4.56s,35.91ms,7.66ms,35.86ms,7.90ms,27.85ms,44.20ms
curated/10-bounded-repeat/context,count,0.0.1 (rev c050f4a04c),re2,2023-03-01,,7384531,40,4.61s,75.75ms,3.66us,75.59ms,441.19us,74.54ms,76.27ms
curated/10-bounded-repeat/capitals,count,0.0.1 (rev c050f4a04c),re2,2023-03-01,,7384531,419,4.56s,7.16ms,0.00ns,7.17ms,16.20us,7.14ms,7.38ms
curated/10-bounded-repeat/compile-context,compile,0.0.1 (rev c050f4a04c),re2,2023-03-01,,,11329,4.51s,93.35us,0.00ns,93.38us,1.40us,88.62us,101.43us
curated/10-bounded-repeat/compile-capitals,compile,0.0.1 (rev c050f4a04c),re2,2023-03-01,,,7400,4.51s,119.53us,1.00ns,119.67us,2.57us,112.35us,132.50us
curated/11-unstructured-to-json/extract,grep-captures,0.0.1 (rev c050f4a04c),re2,2023-03-01,,23952,15565,4.51s,191.35us,0.00ns,192.71us,3.36us,188.04us,216.10us
curated/11-unstructured-to-json/compile,compile,0.0.1 (rev c050f4a04c),re2,2023-03-01,,,212330,4.62s,9.36us,0.00ns,9.37us,155.00ns,8.87us,17.09us
curated/12-dictionary/single,count,0.0.1 (rev c050f4a04c),re2,2023-03-01,,61436,292,4.56s,10.28ms,99.00ns,10.29ms,51.68us,10.19ms,10.53ms
curated/12-dictionary/compile-single,compile,0.0.1 (rev c050f4a04c),re2,2023-03-01,,,434,4.51s,4.16ms,34.00ns,4.16ms,26.54us,4.04ms,4.25ms
dictionary/compile/english-10,compile,0.0.1 (rev c050f4a04c),re2,2023-03-01,,,20,4.56s,146.04ms,15.01us,146.19ms,720.23us,145.09ms,147.60ms
dictionary/compile/english-15,compile,0.0.1 (rev c050f4a04c),re2,2023-03-01,,,441,4.51s,3.95ms,0.00ns,3.95ms,19.95us,3.90ms,4.02ms
dictionary/search/english-10,count-spans,0.0.1 (rev c050f4a04c),re2,2023-03-01,,61436,7,4.96s,435.57ms,0.00ns,434.88ms,1.01ms,433.36ms,435.79ms
dictionary/search/english-15,count-spans,0.0.1 (rev c050f4a04c),re2,2023-03-01,,61436,286,4.56s,10.48ms,140.00ns,10.49ms,78.96us,10.32ms,10.75ms
folly/awyer-inn-busted,count,0.0.1 (rev c050f4a04c),re2,2023-03-01,,80007,38794,4.57s,77.23us,0.00ns,77.30us,405.00ns,77.10us,85.46us
folly/literal-never-match-rare,count,0.0.1 (rev c050f4a04c),re2,2023-03-01,,7384531,34889,4.57s,87.58us,0.00ns,85.95us,2.40us,82.92us,223.90us
folly/literal-never-match-frequent,count,0.0.1 (rev c050f4a04c),re2,2023-03-01,,7384531,1641,4.56s,1.83ms,0.00ns,1.83ms,7.16us,1.81ms,1.87ms
