name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
captures/contiguous-letters,count-captures,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,61436,553,4.51s,5.45ms,0.00ns,5.43ms,98.28us,5.15ms,5.62ms
curated/01-literal/sherlock-en,count,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,899232,110395,4.57s,27.10us,0.00ns,27.14us,582.00ns,25.69us,34.35us
curated/01-literal/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,899232,38084,4.57s,79.96us,0.00ns,78.74us,4.84us,72.84us,106.43us
curated/01-literal/sherlock-ru,count,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,1570556,65403,4.57s,45.66us,0.00ns,45.84us,467.00ns,45.15us,52.50us
curated/01-literal/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,1570556,18604,4.52s,160.69us,0.00ns,161.22us,3.15us,157.14us,197.24us
curated/01-literal/sherlock-zh,count,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,813478,155241,4.62s,19.27us,0.00ns,19.29us,186.00ns,18.76us,25.54us
curated/02-literal-alternate/sherlock-en,count,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,899232,45247,4.57s,66.38us,0.00ns,66.27us,808.00ns,64.58us,80.59us
curated/02-literal-alternate/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,899232,10547,4.51s,283.09us,0.00ns,284.42us,5.44us,275.52us,330.50us
curated/02-literal-alternate/sherlock-ru,count,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,1570556,12812,4.51s,235.14us,0.00ns,234.12us,5.60us,221.66us,271.21us
curated/02-literal-alternate/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,1570556,3077,4.51s,0.97ms,0.00ns,0.98ms,12.30us,0.95ms,1.03ms
curated/02-literal-alternate/sherlock-zh,count,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,813478,59726,4.57s,50.16us,0.00ns,50.19us,389.00ns,49.55us,55.41us
curated/03-date/ascii,count-spans,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,268796,1481,4.51s,2.03ms,0.00ns,2.03ms,25.51us,1.95ms,2.11ms
curated/03-date/unicode,count-spans,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,268796,1453,4.51s,2.07ms,0.00ns,2.07ms,26.28us,1.99ms,2.14ms
curated/03-date/compile-ascii,compile,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,,1337,4.51s,1.48ms,0.00ns,1.48ms,11.15us,1.45ms,1.52ms
curated/03-date/compile-unicode,compile,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,,442,4.51s,5.21ms,32.00ns,5.22ms,33.22us,5.14ms,5.38ms
curated/04-ruff-noqa/real,grep-captures,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,32514634,159,4.56s,18.94ms,0.00ns,18.94ms,63.13us,18.72ms,19.10ms
curated/04-ruff-noqa/tweaked,grep-captures,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,32514634,149,4.56s,20.15ms,0.00ns,20.16ms,78.01us,20.00ms,20.42ms
curated/04-ruff-noqa/compile-real,compile,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,,47982,4.57s,54.57us,0.00ns,54.70us,1.09us,51.78us,65.19us
curated/05-lexer-veryl/single,count-captures,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,150600,198,4.51s,15.16ms,192.00ns,15.16ms,41.48us,15.03ms,15.29ms
curated/05-lexer-veryl/compile-single,compile,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,,4381,4.51s,269.89us,0.00ns,270.49us,3.95us,261.37us,306.47us
curated/05-lexer-veryl/multi,count-spans,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,150600,1328,4.51s,2.26ms,5.00ns,2.26ms,36.01us,2.19ms,2.37ms
curated/06-cloud-flare-redos/original,count-spans,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,107,1000000,880.30ms,179.00ns,0.00ns,179.00ns,16.00ns,174.00ns,10.37us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,102,1000000,581.51ms,54.00ns,0.00ns,54.00ns,7.00ns,49.00ns,2.33us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,10001,1000000,680.78ms,113.00ns,0.00ns,114.00ns,10.00ns,107.00ns,2.47us
curated/07-unicode-character-data/parse-line,grep-captures,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,1913704,590,4.51s,5.09ms,54.00ns,5.09ms,36.37us,4.99ms,5.20ms
curated/07-unicode-character-data/compile,compile,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,,79791,4.57s,28.13us,0.00ns,28.21us,742.00ns,26.45us,35.49us
curated/08-words/all-english,count-spans,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,76401,4448,4.51s,674.95us,5.00ns,674.46us,12.56us,642.78us,739.09us
curated/08-words/all-russian,count-spans,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,123942,478,4.51s,6.28ms,118.00ns,6.28ms,21.14us,6.24ms,6.37ms
curated/08-words/long-english,count-spans,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,76401,32871,4.57s,91.11us,0.00ns,91.23us,614.00ns,90.95us,113.03us
curated/08-words/long-russian,count-spans,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,123942,843,4.56s,3.56ms,0.00ns,3.56ms,19.43us,3.50ms,3.64ms
curated/09-aws-keys/full,grep-captures,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,32514634,171,4.56s,17.55ms,0.00ns,17.56ms,56.30us,17.43ms,17.77ms
curated/09-aws-keys/quick,grep,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,32514634,179,4.56s,16.80ms,0.00ns,16.80ms,100.92us,16.54ms,17.12ms
curated/09-aws-keys/compile-full,compile,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,,23480,4.51s,85.34us,1.00ns,85.64us,2.53us,79.93us,104.13us
curated/09-aws-keys/compile-quick,compile,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,,124994,4.57s,15.52us,0.00ns,15.58us,531.00ns,14.34us,22.08us
curated/10-bounded-repeat/letters-en,count,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,151522,14108,4.51s,211.79us,0.00ns,212.62us,4.49us,205.18us,259.89us
curated/10-bounded-repeat/letters-ru,count,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,248919,8103,4.51s,369.74us,0.00ns,370.21us,2.34us,366.50us,424.43us
curated/10-bounded-repeat/context,count,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,7384531,43,4.61s,70.07ms,0.00ns,70.20ms,473.15us,69.58ms,71.14ms
curated/10-bounded-repeat/capitals,count,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,7384531,352,4.56s,8.53ms,13.00ns,8.53ms,6.69us,8.53ms,8.58ms
