name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,899232,121996,4.57s,24.16us,0.00ns,24.56us,1.02us,23.09us,48.79us
curated/01-literal/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,899232,108201,4.57s,27.59us,0.00ns,27.69us,607.00ns,26.77us,50.27us
curated/01-literal/sherlock-ru,count,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,1570556,8996,4.51s,333.07us,0.00ns,333.48us,1.91us,330.33us,348.59us
curated/01-literal/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,1570556,14907,4.51s,200.86us,0.00ns,201.22us,4.71us,192.33us,244.90us
curated/01-literal/sherlock-zh,count,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,813478,193865,4.63s,14.95us,0.00ns,15.44us,909.00ns,14.64us,38.61us
curated/02-literal-alternate/sherlock-en,count,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,899232,60967,4.57s,48.50us,0.00ns,49.17us,1.69us,48.01us,68.84us
curated/02-literal-alternate/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,899232,55105,4.57s,54.24us,0.00ns,54.41us,3.22us,49.45us,75.13us
curated/02-literal-alternate/sherlock-ru,count,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,1570556,9454,4.51s,316.37us,0.00ns,317.32us,4.56us,311.53us,367.03us
curated/02-literal-alternate/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,1570556,8117,4.57s,368.65us,0.00ns,369.57us,4.21us,362.39us,409.03us
curated/02-literal-alternate/sherlock-zh,count,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,813478,78716,4.57s,38.01us,0.00ns,38.08us,299.00ns,37.66us,45.85us
curated/03-date/ascii,count-spans,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,268796,1229,4.97s,2.44ms,0.00ns,2.44ms,16.98us,2.41ms,2.55ms
curated/03-date/compile-ascii,compile,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,,5,5.47s,648.83ms,0.00ns,658.07ms,18.10ms,646.88ms,694.12ms
curated/05-lexer-veryl/multi,count-spans,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,150600,373,4.56s,8.05ms,0.00ns,8.06ms,86.93us,7.81ms,8.31ms
curated/06-cloud-flare-redos/original,count-spans,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,107,1000000,2.96s,1.19us,0.00ns,1.20us,30.00ns,1.12us,6.51us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,102,1000000,2.89s,1.19us,0.00ns,1.19us,34.00ns,1.10us,8.21us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,10001,26655,4.57s,112.30us,0.00ns,112.52us,1.72us,106.34us,126.39us
curated/08-words/all-english,count-spans,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,76401,6544,4.51s,457.59us,1.00ns,458.44us,4.34us,444.44us,486.35us
curated/08-words/long-english,count-spans,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,76401,18302,4.51s,163.73us,0.00ns,163.89us,1.22us,159.60us,174.84us
curated/09-aws-keys/quick,grep,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,32514634,134,4.56s,22.53ms,1.11us,22.53ms,68.17us,22.38ms,22.76ms
curated/09-aws-keys/compile-quick,compile,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,,442,4.51s,6.78ms,73.00ns,6.78ms,32.62us,6.69ms,6.88ms
curated/10-bounded-repeat/letters-en,count,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,151522,15121,4.52s,198.02us,0.00ns,198.37us,2.05us,193.64us,217.68us
curated/10-bounded-repeat/letters-ru,count,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,248919,3345,4.82s,894.51us,0.00ns,896.86us,10.89us,876.32us,0.95ms
curated/10-bounded-repeat/context,count,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,7384531,213,4.56s,14.09ms,0.00ns,14.09ms,35.93us,14.04ms,14.35ms
curated/10-bounded-repeat/capitals,count,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,7384531,1168,4.51s,2.57ms,9.00ns,2.57ms,16.84us,2.54ms,2.64ms
curated/10-bounded-repeat/compile-context,compile,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,,122,4.56s,24.67ms,395.00ns,24.70ms,107.65us,24.57ms,25.08ms
curated/10-bounded-repeat/compile-capitals,compile,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,,4514,4.51s,661.76us,0.00ns,662.02us,6.98us,639.32us,686.64us
curated/12-dictionary/multi,count,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,61436,432079,4.79s,6.87us,0.00ns,6.91us,149.00ns,6.67us,16.39us
curated/12-dictionary/compile-multi,compile,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,,145,4.56s,20.82ms,0.00ns,20.71ms,292.81us,20.04ms,21.07ms
curated/13-noseyparker/single,count,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,32514634,414,4.82s,7.13ms,3.53us,7.26ms,222.56us,6.99ms,7.75ms
curated/13-noseyparker/multi,count,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,32514634,426,4.71s,7.04ms,40.00ns,7.05ms,29.48us,7.00ms,7.16ms
curated/13-noseyparker/compile-single,compile,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,,14,4.61s,215.08ms,19.22us,215.57ms,2.23ms,214.48ms,223.55ms
curated/13-noseyparker/compile-multi,compile,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,,23,4.66s,134.59ms,0.00ns,134.61ms,137.71us,134.39ms,134.83ms
folly/awyer-inn-busted,count,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,80007,871593,4.89s,3.41us,0.00ns,3.41us,57.00ns,3.35us,27.36us
folly/literal-never-match-rare,count,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,7384531,23954,4.57s,128.15us,0.00ns,125.20us,6.44us,115.22us,162.18us
folly/literal-never-match-frequent,count,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,7384531,25397,4.57s,116.80us,0.00ns,118.09us,2.78us,115.98us,153.34us
folly/literal-never-match-tricksy,count,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,120012,259699,4.68s,11.11us,0.00ns,11.52us,806.00ns,10.85us,16.46us
