name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.0.1 (rev c050f4a04c),icu,72.1.0,,899232,5569,4.51s,537.83us,0.00ns,538.70us,4.01us,523.67us,593.89us
curated/01-literal/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),icu,72.1.0,,899232,1586,4.51s,1.90ms,5.00ns,1.89ms,16.99us,1.85ms,1.93ms
curated/01-literal/sherlock-ru,count,0.0.1 (rev c050f4a04c),icu,72.1.0,,1570556,6245,4.51s,479.78us,0.00ns,480.37us,2.32us,454.01us,500.09us
curated/01-literal/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),icu,72.1.0,,1570556,564,4.56s,5.33ms,12.00ns,5.33ms,26.50us,5.24ms,5.50ms
curated/01-literal/sherlock-zh,count,0.0.1 (rev c050f4a04c),icu,72.1.0,,813478,16827,4.56s,177.69us,0.00ns,178.26us,1.20us,169.96us,193.74us
curated/02-literal-alternate/sherlock-en,count,0.0.1 (rev c050f4a04c),icu,72.1.0,,899232,2222,4.56s,1.36ms,2.00ns,1.35ms,19.86us,1.30ms,1.38ms
curated/02-literal-alternate/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),icu,72.1.0,,899232,400,4.56s,7.51ms,36.00ns,7.51ms,46.51us,7.42ms,7.72ms
curated/02-literal-alternate/sherlock-ru,count,0.0.1 (rev c050f4a04c),icu,72.1.0,,1570556,337,4.56s,8.91ms,0.00ns,8.91ms,24.60us,8.86ms,9.11ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),icu,72.1.0,,1570556,212,4.56s,14.14ms,236.00ns,14.15ms,76.73us,13.97ms,14.36ms
curated/02-literal-alternate/sherlock-zh,count,0.0.1 (rev c050f4a04c),icu,72.1.0,,813478,1276,4.56s,2.35ms,16.00ns,2.35ms,15.32us,2.32ms,2.40ms
curated/03-date/ascii,count-spans,0.0.1 (rev c050f4a04c),icu,72.1.0,,268796,4,5.01s,820.30ms,212.94us,820.60ms,2.39ms,817.55ms,824.25ms
curated/03-date/unicode,count-spans,0.0.1 (rev c050f4a04c),icu,72.1.0,,268796,4,4.96s,817.89ms,567.07us,817.95ms,907.71us,816.87ms,819.16ms
curated/03-date/compile-ascii,compile,0.0.1 (rev c050f4a04c),icu,72.1.0,,,6528,4.51s,430.94us,0.00ns,431.55us,2.77us,425.74us,462.09us
curated/03-date/compile-unicode,compile,0.0.1 (rev c050f4a04c),icu,72.1.0,,,6489,4.51s,433.32us,0.00ns,433.81us,2.76us,424.49us,453.56us
curated/04-ruff-noqa/real,grep-captures,0.0.1 (rev c050f4a04c),icu,72.1.0,,32514634,2,4.61s,1.51s,284.70us,1.51s,284.70us,1.51s,1.51s
curated/04-ruff-noqa/tweaked,grep-captures,0.0.1 (rev c050f4a04c),icu,72.1.0,,32514634,32,4.66s,95.17ms,2.13us,95.18ms,130.65us,94.92ms,95.50ms
curated/04-ruff-noqa/compile-real,compile,0.0.1 (rev c050f4a04c),icu,72.1.0,,,506246,4.78s,5.46us,0.00ns,5.47us,85.00ns,5.31us,31.17us
curated/05-lexer-veryl/single,count-captures,0.0.1 (rev c050f4a04c),icu,72.1.0,,150600,20,4.51s,150.02ms,65.02us,150.01ms,1.59ms,146.87ms,153.22ms
