name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
captures/contiguous-letters,count-captures,0.0.1 (rev c050f4a04c),rust/regexold,1.7.3,,61436,67,4.56s,45.20ms,0.00ns,45.19ms,180.91us,44.80ms,45.61ms
curated/01-literal/sherlock-en,count,0.0.1 (rev c050f4a04c),rust/regexold,1.7.3,,899232,115158,4.57s,26.18us,0.00ns,26.02us,631.00ns,24.57us,31.93us
curated/01-literal/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),rust/regexold,1.7.3,,899232,28950,4.57s,106.76us,1.00ns,103.59us,4.65us,97.76us,129.59us
curated/01-literal/sherlock-ru,count,0.0.1 (rev c050f4a04c),rust/regexold,1.7.3,,1570556,66430,4.57s,44.26us,0.00ns,45.11us,1.30us,43.66us,53.09us
curated/01-literal/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),rust/regexold,1.7.3,,1570556,14191,4.51s,209.53us,0.00ns,211.37us,4.79us,206.91us,253.85us
curated/01-literal/sherlock-zh,count,0.0.1 (rev c050f4a04c),rust/regexold,1.7.3,,813478,152731,4.62s,19.58us,0.00ns,19.61us,182.00ns,18.86us,25.04us
curated/02-literal-alternate/sherlock-en,count,0.0.1 (rev c050f4a04c),rust/regexold,1.7.3,,899232,60111,4.57s,49.34us,0.00ns,49.87us,1.50us,47.80us,67.19us
curated/02-literal-alternate/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),rust/regexold,1.7.3,,899232,9983,4.51s,299.43us,0.00ns,300.49us,3.98us,294.10us,327.01us
curated/02-literal-alternate/sherlock-ru,count,0.0.1 (rev c050f4a04c),rust/regexold,1.7.3,,1570556,5926,4.51s,506.84us,2.00ns,506.26us,4.18us,493.99us,526.06us
curated/02-literal-alternate/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),rust/regexold,1.7.3,,1570556,910,4.51s,3.30ms,35.00ns,3.30ms,18.82us,3.26ms,3.39ms
curated/02-literal-alternate/sherlock-zh,count,0.0.1 (rev c050f4a04c),rust/regexold,1.7.3,,813478,72252,4.57s,38.82us,0.00ns,41.48us,4.18us,37.69us,143.17us
curated/03-date/ascii,count-spans,0.0.1 (rev c050f4a04c),rust/regexold,1.7.3,,268796,1650,4.51s,1.82ms,25.00ns,1.82ms,13.63us,1.79ms,1.88ms
curated/03-date/unicode,count-spans,0.0.1 (rev c050f4a04c),rust/regexold,1.7.3,,268796,5,5.16s,619.67ms,0.00ns,619.87ms,613.92us,619.16ms,621.01ms
curated/03-date/compile-ascii,compile,0.0.1 (rev c050f4a04c),rust/regexold,1.7.3,,,1600,4.51s,1.70ms,4.00ns,1.72ms,44.80us,1.66ms,1.83ms
curated/03-date/compile-unicode,compile,0.0.1 (rev c050f4a04c),rust/regexold,1.7.3,,,463,4.51s,6.20ms,0.00ns,6.17ms,68.89us,5.99ms,6.30ms
