name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
captures/contiguous-letters,count-captures,0.0.1 (rev c050f4a04c),python/re,3.10.10,,61436,93,4.56s,32.40ms,0.00ns,32.41ms,117.34us,32.20ms,32.72ms
curated/01-literal/sherlock-en,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,899232,12966,4.57s,230.97us,0.00ns,230.91us,2.06us,225.30us,343.30us
curated/01-literal/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,899232,1024,4.56s,2.92ms,197.00ns,2.93ms,53.99us,2.85ms,3.26ms
curated/01-literal/sherlock-ru,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,1570556,14150,4.56s,210.84us,0.00ns,211.33us,1.72us,209.26us,310.73us
curated/01-literal/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,1570556,905,4.56s,3.29ms,0.00ns,3.31ms,94.29us,3.26ms,4.15ms
curated/01-literal/sherlock-zh,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,813478,43757,4.57s,67.84us,0.00ns,68.16us,838.00ns,67.48us,168.13us
curated/02-literal-alternate/sherlock-en,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,899232,1511,4.56s,1.99ms,0.00ns,1.99ms,5.95us,1.97ms,2.03ms
curated/02-literal-alternate/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,899232,127,4.56s,23.79ms,0.00ns,23.78ms,365.76us,22.80ms,24.65ms
curated/02-literal-alternate/sherlock-ru,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,1570556,795,4.56s,3.77ms,0.00ns,3.77ms,39.99us,3.70ms,3.92ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,1570556,119,4.56s,25.22ms,0.00ns,25.24ms,165.96us,24.88ms,25.68ms
curated/02-literal-alternate/sherlock-zh,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,813478,3973,4.56s,754.68us,0.00ns,754.80us,2.36us,748.87us,790.64us
curated/03-date/ascii,count-spans,0.0.1 (rev c050f4a04c),python/re,3.10.10,,268796,13,4.86s,241.26ms,0.00ns,241.28ms,340.98us,240.65ms,241.85ms
curated/03-date/unicode,count-spans,0.0.1 (rev c050f4a04c),python/re,3.10.10,,268796,10,4.86s,321.20ms,66.52us,321.16ms,173.40us,320.90ms,321.44ms
curated/03-date/compile-ascii,compile,0.0.1 (rev c050f4a04c),python/re,3.10.10,,,639,4.56s,4.67ms,0.00ns,4.69ms,138.38us,4.53ms,5.29ms
curated/03-date/compile-unicode,compile,0.0.1 (rev c050f4a04c),python/re,3.10.10,,,598,4.56s,4.99ms,43.00ns,5.01ms,139.91us,4.82ms,5.60ms
curated/04-ruff-noqa/real,grep-captures,0.0.1 (rev c050f4a04c),python/re,3.10.10,,32514634,3,5.77s,1.11s,0.00ns,1.11s,12.64ms,1.10s,1.13s
curated/04-ruff-noqa/tweaked,grep-captures,0.0.1 (rev c050f4a04c),python/re,3.10.10,,32514634,11,5.16s,294.65ms,0.00ns,292.81ms,3.47ms,287.36ms,296.13ms
curated/04-ruff-noqa/compile-real,compile,0.0.1 (rev c050f4a04c),python/re,3.10.10,,,39053,4.57s,75.14us,0.00ns,75.23us,1.14us,72.75us,203.06us
curated/05-lexer-veryl/single,count-captures,0.0.1 (rev c050f4a04c),python/re,3.10.10,,150600,32,4.56s,94.22ms,8.52us,94.23ms,177.50us,93.80ms,94.64ms
curated/05-lexer-veryl/compile-single,compile,0.0.1 (rev c050f4a04c),python/re,3.10.10,,,2605,4.56s,1.15ms,0.00ns,1.15ms,10.98us,1.12ms,1.28ms
curated/06-cloud-flare-redos/original,count-spans,0.0.1 (rev c050f4a04c),python/re,3.10.10,,107,609741,4.68s,4.60us,0.00ns,4.63us,854.00ns,4.36us,624.33us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.0.1 (rev c050f4a04c),python/re,3.10.10,,102,621599,4.68s,4.48us,0.00ns,4.51us,1.09us,4.25us,831.96us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.0.1 (rev c050f4a04c),python/re,3.10.10,,10001,122,4.56s,24.30ms,30.00ns,24.82ms,1.43ms,24.27ms,28.98ms
curated/07-unicode-character-data/parse-line,grep-captures,0.0.1 (rev c050f4a04c),python/re,3.10.10,,1913704,72,4.61s,42.26ms,2.69us,42.25ms,163.53us,41.92ms,42.70ms
curated/07-unicode-character-data/compile,compile,0.0.1 (rev c050f4a04c),python/re,3.10.10,,,22944,4.57s,128.67us,0.00ns,128.85us,1.70us,124.82us,254.16us
curated/08-words/all-english,count-spans,0.0.1 (rev c050f4a04c),python/re,3.10.10,,76401,1390,4.56s,2.16ms,26.00ns,2.16ms,12.67us,2.13ms,2.22ms
curated/08-words/all-russian,count-spans,0.0.1 (rev c050f4a04c),python/re,3.10.10,,123942,1052,4.56s,2.85ms,26.00ns,2.85ms,11.06us,2.83ms,2.93ms
curated/08-words/long-english,count-spans,0.0.1 (rev c050f4a04c),python/re,3.10.10,,76401,4569,4.56s,654.18us,0.00ns,656.36us,11.24us,641.07us,730.12us
curated/08-words/long-russian,count-spans,0.0.1 (rev c050f4a04c),python/re,3.10.10,,123942,2802,4.56s,1.07ms,1.00ns,1.07ms,9.28us,1.06ms,1.14ms
curated/09-aws-keys/full,grep-captures,0.0.1 (rev c050f4a04c),python/re,3.10.10,,32514634,10,5.11s,327.50ms,277.38us,327.40ms,2.29ms,321.95ms,331.46ms
curated/09-aws-keys/quick,grep,0.0.1 (rev c050f4a04c),python/re,3.10.10,,32514634,16,4.76s,191.10ms,35.06us,191.08ms,206.28us,190.76ms,191.43ms
curated/09-aws-keys/compile-full,compile,0.0.1 (rev c050f4a04c),python/re,3.10.10,,,14058,4.56s,210.94us,0.00ns,211.14us,2.34us,205.76us,340.03us
curated/09-aws-keys/compile-quick,compile,0.0.1 (rev c050f4a04c),python/re,3.10.10,,,58618,4.57s,49.55us,0.00ns,49.64us,885.00ns,47.86us,164.48us
curated/10-bounded-repeat/letters-en,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,151522,1521,4.56s,1.97ms,0.00ns,1.97ms,12.28us,1.93ms,2.04ms
curated/10-bounded-repeat/context,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,7384531,30,4.66s,102.05ms,17.88us,102.03ms,203.49us,101.64ms,102.49ms
curated/10-bounded-repeat/capitals,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,7384531,29,4.71s,105.09ms,0.00ns,105.20ms,669.68us,104.41ms,107.75ms
curated/10-bounded-repeat/compile-context,compile,0.0.1 (rev c050f4a04c),python/re,3.10.10,,,49295,4.57s,59.03us,0.00ns,59.13us,1.00us,57.08us,172.26us
curated/10-bounded-repeat/compile-capitals,compile,0.0.1 (rev c050f4a04c),python/re,3.10.10,,,85593,4.57s,32.95us,0.00ns,33.03us,2.55us,31.53us,747.23us
curated/11-unstructured-to-json/extract,grep-captures,0.0.1 (rev c050f4a04c),python/re,3.10.10,,23952,15536,4.57s,192.18us,0.00ns,192.72us,2.80us,184.64us,297.57us
curated/11-unstructured-to-json/compile,compile,0.0.1 (rev c050f4a04c),python/re,3.10.10,,,32187,4.57s,90.43us,0.00ns,90.55us,1.26us,87.42us,211.17us
curated/12-dictionary/single,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,61436,9,4.76s,343.69ms,0.00ns,343.70ms,92.98us,343.52ms,343.82ms
curated/12-dictionary/compile-single,compile,0.0.1 (rev c050f4a04c),python/re,3.10.10,,,88,4.56s,34.11ms,38.83us,34.18ms,738.46us,33.26ms,35.79ms
dictionary/search/english-15,count-spans,0.0.1 (rev c050f4a04c),python/re,3.10.10,,61436,8,4.91s,425.27ms,16.99us,394.90ms,39.34ms,343.64ms,425.56ms
grep/every-line,grep,0.0.1 (rev c050f4a04c),python/re,3.10.10,,7384531,50,4.61s,60.92ms,781.00ns,60.93ms,94.99us,60.75ms,61.22ms
imported/leipzig/twain,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,16013977,865,4.61s,3.47ms,0.00ns,3.47ms,7.16us,3.45ms,3.52ms
imported/leipzig/twain-insensitive,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,16013977,55,4.71s,55.26ms,0.00ns,55.30ms,339.58us,54.68ms,56.58ms
imported/leipzig/shing,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,16013977,27,4.71s,111.82ms,0.00ns,111.82ms,113.97us,111.57ms,112.05ms
imported/leipzig/huck-saw,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,16013977,94,4.66s,32.14ms,34.00ns,32.14ms,21.79us,32.10ms,32.22ms
imported/leipzig/word-ending-nn,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,16013977,19,4.81s,162.80ms,0.00ns,162.81ms,211.42us,162.49ms,163.18ms
imported/leipzig/certain-long-strings-ending-x,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,16013977,10,4.71s,307.50ms,6.60us,307.46ms,163.54us,307.26ms,307.75ms
imported/leipzig/tom-sawyer-huckle-finn,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,16013977,98,4.61s,30.77ms,311.00ns,30.79ms,85.36us,30.75ms,31.37ms
imported/leipzig/tom-sawyer-huckle-fin-insensitive,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,16013977,10,4.66s,303.74ms,5.40us,303.67ms,0.96ms,301.54ms,304.95ms
imported/leipzig/tom-sawyer-huckle-fin-prefix-short,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,16013977,8,5.06s,410.64ms,37.22us,410.52ms,849.83us,409.02ms,411.70ms
imported/leipzig/tom-sawyer-huckle-fin-prefix-long,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,16013977,8,4.91s,401.45ms,672.88us,401.76ms,1.83ms,399.68ms,404.63ms
imported/leipzig/tom-river,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,16013977,65,4.71s,46.78ms,0.00ns,46.79ms,65.05us,46.59ms,46.95ms
imported/leipzig/ing,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,16013977,13,4.81s,234.38ms,0.00ns,234.41ms,369.13us,233.96ms,235.30ms
imported/leipzig/ing-whitespace,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,16013977,20,4.66s,151.55ms,52.64us,151.56ms,464.84us,150.38ms,152.20ms
imported/leipzig/awyer-inn,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,16013977,16,4.76s,194.35ms,49.48us,194.36ms,481.77us,193.42ms,195.05ms
imported/leipzig/quotes-bounded,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,16013977,64,4.61s,47.04ms,1.64us,47.21ms,361.62us,46.95ms,48.24ms
imported/leipzig/non-ascii-alternate,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,16013977,97,4.66s,31.00ms,0.00ns,31.14ms,295.25us,30.93ms,32.27ms
imported/leipzig/bounded-strings-ending-z,count-spans,0.0.1 (rev c050f4a04c),python/re,3.10.10,,16013977,1,7.67s,3.79s,0.00ns,3.79s,0.00ns,3.79s,3.79s
imported/lh3lh3-reb/uri,grep,0.0.1 (rev c050f4a04c),python/re,3.10.10,,39887114,3,5.57s,1.07s,0.00ns,1.07s,3.22ms,1.07s,1.07s
imported/lh3lh3-reb/email,grep,0.0.1 (rev c050f4a04c),python/re,3.10.10,,39887114,2,5.72s,1.83s,625.59us,1.83s,625.59us,1.83s,1.83s
imported/lh3lh3-reb/date,grep,0.0.1 (rev c050f4a04c),python/re,3.10.10,,39887114,8,4.91s,388.00ms,97.37us,387.06ms,1.58ms,384.79ms,388.84ms
imported/lh3lh3-reb/uri-or-email,grep,0.0.1 (rev c050f4a04c),python/re,3.10.10,,39887114,2,8.72s,2.84s,3.02ms,2.84s,3.02ms,2.83s,2.84s
imported/mariomka/email,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,6839410,22,4.71s,141.00ms,3.24us,141.01ms,104.03us,140.78ms,141.27ms
imported/mariomka/uri,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,6839410,36,4.66s,84.92ms,7.71us,84.91ms,176.01us,84.57ms,85.24ms
imported/mariomka/ip,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,6839410,20,4.71s,155.34ms,4.21us,155.71ms,1.77ms,154.51ms,163.04ms
imported/regex-redux/regex-redux,regex-redux,0.0.1 (rev c050f4a04c),python/re,3.10.10,,,22,4.56s,136.84ms,286.00ns,136.90ms,266.36us,136.36ms,137.46ms
imported/rsc/no-exponential,count-spans,0.0.1 (rev c050f4a04c),python/re,3.10.10,,25,3,7.07s,1.41s,0.00ns,1.41s,15.03ms,1.39s,1.42s
imported/rsc/literal,count-spans,0.0.1 (rev c050f4a04c),python/re,3.10.10,,51,1000000,1.58s,429.00ns,0.00ns,443.00ns,679.00ns,378.00ns,622.40us
imported/rsc/not-literal,count-spans,0.0.1 (rev c050f4a04c),python/re,3.10.10,,51,1000000,1.98s,629.00ns,0.00ns,644.00ns,844.00ns,565.00ns,796.61us
imported/rsc/match-class,count-spans,0.0.1 (rev c050f4a04c),python/re,3.10.10,,81,1000000,1.99s,633.00ns,0.00ns,666.00ns,884.00ns,569.00ns,826.21us
imported/rsc/match-class-in-range,count-spans,0.0.1 (rev c050f4a04c),python/re,3.10.10,,81,1000000,1.93s,618.00ns,0.00ns,654.00ns,1.00us,557.00ns,938.98us
imported/rsc/anchored-literal-short-non-match,count-spans,0.0.1 (rev c050f4a04c),python/re,3.10.10,,26,1000000,1.58s,441.00ns,0.00ns,468.00ns,893.00ns,384.00ns,832.96us
