name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.0.1 (rev 661a26bd76),java/hotspot,20+36-2344,,899232,8343,4.61s,346.38us,0.00ns,359.38us,27.05us,339.20us,527.69us
curated/01-literal/sherlock-casei-en,count,0.0.1 (rev 661a26bd76),java/hotspot,20+36-2344,,899232,994,4.61s,3.01ms,73.00ns,3.02ms,30.65us,2.98ms,3.16ms
curated/01-literal/sherlock-ru,count,0.0.1 (rev 661a26bd76),java/hotspot,20+36-2344,,1570556,7950,4.67s,373.35us,0.00ns,377.19us,12.60us,366.86us,571.40us
curated/01-literal/sherlock-casei-ru,count,0.0.1 (rev 661a26bd76),java/hotspot,20+36-2344,,1570556,452,4.61s,6.63ms,81.00ns,6.64ms,93.20us,6.49ms,7.03ms
curated/01-literal/sherlock-zh,count,0.0.1 (rev 661a26bd76),java/hotspot,20+36-2344,,813478,20587,4.66s,145.25us,0.00ns,145.63us,2.00us,144.86us,344.56us
curated/02-literal-alternate/sherlock-en,count,0.0.1 (rev 661a26bd76),java/hotspot,20+36-2344,,899232,242,4.62s,12.21ms,4.02us,12.44ms,473.75us,12.04ms,14.34ms
curated/02-literal-alternate/sherlock-casei-en,count,0.0.1 (rev 661a26bd76),java/hotspot,20+36-2344,,899232,225,4.62s,13.10ms,0.00ns,13.38ms,563.02us,12.78ms,14.78ms
curated/02-literal-alternate/sherlock-ru,count,0.0.1 (rev 661a26bd76),java/hotspot,20+36-2344,,1570556,238,4.62s,12.47ms,56.00ns,12.62ms,336.92us,12.39ms,14.19ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.0.1 (rev 661a26bd76),java/hotspot,20+36-2344,,1570556,111,4.67s,27.12ms,0.00ns,27.18ms,303.02us,26.64ms,27.88ms
curated/02-literal-alternate/sherlock-zh,count,0.0.1 (rev 661a26bd76),java/hotspot,20+36-2344,,813478,665,4.62s,4.41ms,0.00ns,4.52ms,204.10us,4.35ms,5.27ms
curated/03-date/ascii,count-spans,0.0.1 (rev 661a26bd76),java/hotspot,20+36-2344,,268796,25,4.66s,122.99ms,0.00ns,123.00ms,205.43us,122.65ms,123.41ms
curated/03-date/unicode,count-spans,0.0.1 (rev 661a26bd76),java/hotspot,20+36-2344,,268796,19,4.72s,164.06ms,0.00ns,164.08ms,178.83us,163.77ms,164.40ms
curated/04-ruff-noqa/real,grep-captures,0.0.1 (rev 661a26bd76),java/hotspot,20+36-2344,,32514634,4,5.47s,821.92ms,4.41ms,823.00ms,9.30ms,811.78ms,836.38ms
curated/04-ruff-noqa/tweaked,grep-captures,0.0.1 (rev 661a26bd76),java/hotspot,20+36-2344,,32514634,21,5.11s,143.63ms,0.00ns,143.36ms,1.40ms,140.94ms,146.32ms
curated/05-lexer-veryl/single,count-captures,0.0.1 (rev 661a26bd76),java/hotspot,20+36-2344,,150600,132,4.66s,23.01ms,1.66us,22.88ms,466.58us,22.08ms,24.92ms
curated/06-cloud-flare-redos/original,count-spans,0.0.1 (rev 661a26bd76),java/hotspot,20+36-2344,,107,169981,4.97s,17.48us,0.00ns,17.62us,13.93us,17.27us,5.69ms
curated/06-cloud-flare-redos/simplified-short,count-spans,0.0.1 (rev 661a26bd76),java/hotspot,20+36-2344,,102,191907,4.97s,15.48us,0.00ns,15.60us,1.96us,15.15us,232.76us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.0.1 (rev 661a26bd76),java/hotspot,20+36-2344,,10001,31,4.71s,99.65ms,0.00ns,99.62ms,97.96us,99.26ms,99.78ms
curated/07-unicode-character-data/parse-line,grep-captures,0.0.1 (rev 661a26bd76),java/hotspot,20+36-2344,,1913704,342,4.61s,8.74ms,1.03us,8.79ms,214.69us,8.58ms,10.27ms
curated/08-words/all-english,count-spans,0.0.1 (rev 661a26bd76),java/hotspot,20+36-2344,,76401,3283,4.61s,911.19us,0.00ns,913.71us,13.24us,886.71us,0.97ms
curated/08-words/all-russian,count-spans,0.0.1 (rev 661a26bd76),java/hotspot,20+36-2344,,123942,3573,4.61s,838.12us,0.00ns,839.59us,8.83us,818.24us,1.02ms
curated/08-words/long-english,count-spans,0.0.1 (rev 661a26bd76),java/hotspot,20+36-2344,,76401,2808,4.61s,1.06ms,18.00ns,1.07ms,18.35us,1.04ms,1.12ms
curated/08-words/long-russian,count-spans,0.0.1 (rev 661a26bd76),java/hotspot,20+36-2344,,123942,2835,4.61s,1.06ms,0.00ns,1.06ms,8.44us,1.04ms,1.12ms
curated/09-aws-keys/full,grep-captures,0.0.1 (rev 661a26bd76),java/hotspot,20+36-2344,,32514634,5,5.72s,721.67ms,0.00ns,727.25ms,11.54ms,717.99ms,749.59ms
curated/09-aws-keys/quick,grep,0.0.1 (rev 661a26bd76),java/hotspot,20+36-2344,,32514634,12,5.37s,264.73ms,191.62us,266.85ms,8.20ms,259.46ms,284.80ms
curated/10-bounded-repeat/letters-en,count,0.0.1 (rev 661a26bd76),java/hotspot,20+36-2344,,151522,1911,4.61s,1.56ms,0.00ns,1.57ms,27.35us,1.53ms,1.76ms
