name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
captures/contiguous-letters,count-captures,0.0.1 (rev 661a26bd76),regress,0.6.0,,61436,742,4.51s,4.03ms,37.00ns,4.04ms,45.75us,3.97ms,4.35ms
curated/01-literal/sherlock-en,count,0.0.1 (rev 661a26bd76),regress,0.6.0,,899232,11934,4.51s,255.16us,0.00ns,251.37us,7.81us,236.05us,293.50us
curated/01-literal/sherlock-casei-en,count,0.0.1 (rev 661a26bd76),regress,0.6.0,,899232,4036,4.51s,736.88us,2.00ns,743.28us,18.83us,725.18us,831.49us
curated/01-literal/sherlock-ru,count,0.0.1 (rev 661a26bd76),regress,0.6.0,,1570556,6920,4.51s,437.90us,1.00ns,433.50us,7.89us,411.92us,451.46us
curated/01-literal/sherlock-casei-ru,count,0.0.1 (rev 661a26bd76),regress,0.6.0,,1570556,635,4.51s,4.69ms,0.00ns,4.73ms,93.94us,4.67ms,4.98ms
curated/01-literal/sherlock-zh,count,0.0.1 (rev 661a26bd76),regress,0.6.0,,813478,13518,4.51s,224.09us,0.00ns,221.90us,4.40us,208.84us,241.07us
curated/02-literal-alternate/sherlock-en,count,0.0.1 (rev 661a26bd76),regress,0.6.0,,899232,5304,4.51s,559.65us,1.00ns,565.65us,12.10us,547.18us,597.93us
curated/02-literal-alternate/sherlock-casei-en,count,0.0.1 (rev 661a26bd76),regress,0.6.0,,899232,989,4.51s,3.03ms,0.00ns,3.03ms,31.15us,2.97ms,3.15ms
curated/02-literal-alternate/sherlock-ru,count,0.0.1 (rev 661a26bd76),regress,0.6.0,,1570556,535,4.51s,5.59ms,0.00ns,5.61ms,62.79us,5.54ms,5.95ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.0.1 (rev 661a26bd76),regress,0.6.0,,1570556,227,4.51s,13.22ms,0.00ns,13.23ms,63.97us,13.12ms,13.44ms
curated/02-literal-alternate/sherlock-zh,count,0.0.1 (rev 661a26bd76),regress,0.6.0,,813478,972,4.51s,3.07ms,192.00ns,3.09ms,38.57us,3.04ms,3.23ms
curated/03-date/ascii,count-spans,0.0.1 (rev 661a26bd76),regress,0.6.0,,268796,23,4.61s,130.85ms,0.00ns,130.99ms,822.92us,129.39ms,132.90ms
curated/03-date/unicode,count-spans,0.0.1 (rev 661a26bd76),regress,0.6.0,,268796,24,4.71s,130.43ms,6.30us,130.37ms,634.34us,129.28ms,131.80ms
curated/03-date/compile-ascii,compile,0.0.1 (rev 661a26bd76),regress,0.6.0,,,2133,4.51s,1.28ms,0.00ns,1.36ms,169.80us,1.17ms,1.83ms
curated/03-date/compile-unicode,compile,0.0.1 (rev 661a26bd76),regress,0.6.0,,,2082,4.51s,1.32ms,237.00ns,1.39ms,172.20us,1.19ms,1.85ms
curated/05-lexer-veryl/single,count-captures,0.0.1 (rev 661a26bd76),regress,0.6.0,,150600,135,4.56s,22.84ms,0.00ns,22.28ms,1.78ms,16.61ms,23.38ms
curated/06-cloud-flare-redos/original,count-spans,0.0.1 (rev 661a26bd76),regress,0.6.0,,107,236333,4.62s,12.64us,0.00ns,12.66us,110.00ns,12.06us,24.05us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.0.1 (rev 661a26bd76),regress,0.6.0,,102,239135,4.67s,12.53us,0.00ns,12.52us,135.00ns,11.85us,17.13us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.0.1 (rev 661a26bd76),regress,0.6.0,,10001,32,4.66s,96.53ms,421.00ns,96.55ms,117.22us,96.35ms,97.02ms
curated/07-unicode-character-data/parse-line,grep-captures,0.0.1 (rev 661a26bd76),regress,0.6.0,,1913704,361,4.51s,8.31ms,0.00ns,8.32ms,51.32us,8.23ms,8.55ms
curated/07-unicode-character-data/compile,compile,0.0.1 (rev 661a26bd76),regress,0.6.0,,,431094,4.72s,6.29us,0.00ns,6.29us,127.00ns,5.75us,11.80us
curated/08-words/all-english,count-spans,0.0.1 (rev 661a26bd76),regress,0.6.0,,76401,6893,4.51s,434.44us,0.00ns,435.22us,3.27us,429.09us,461.49us
