name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,899232,22766,4.57s,131.20us,0.00ns,131.75us,2.37us,128.66us,160.50us
curated/01-literal/sherlock-casei-en,count,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,899232,3008,4.51s,1.00ms,1.00ns,1.00ms,6.99us,0.98ms,1.04ms
curated/01-literal/sherlock-ru,count,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,1570556,5,5.82s,721.34ms,0.00ns,721.29ms,642.52us,720.20ms,722.20ms
curated/01-literal/sherlock-casei-ru,count,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,1570556,4,4.56s,752.66ms,1.41ms,753.17ms,2.36ms,750.73ms,756.62ms
curated/01-literal/sherlock-zh,count,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,813478,225,4.56s,13.36ms,0.00ns,13.38ms,111.77us,13.05ms,13.82ms
curated/02-literal-alternate/sherlock-en,count,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,899232,3139,4.51s,0.95ms,0.00ns,0.96ms,14.00us,923.91us,1.00ms
curated/02-literal-alternate/sherlock-casei-en,count,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,899232,588,4.51s,5.10ms,82.00ns,5.10ms,74.87us,4.95ms,5.35ms
curated/02-literal-alternate/sherlock-ru,count,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,1570556,4,5.31s,879.26ms,832.96us,879.42ms,1.41ms,877.77ms,881.36ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,1570556,4,5.72s,941.96ms,465.82us,942.11ms,1.18ms,940.69ms,943.85ms
curated/02-literal-alternate/sherlock-zh,count,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,813478,34,4.61s,89.23ms,22.24us,89.66ms,1.46ms,87.97ms,94.54ms
curated/03-date/ascii,count-spans,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,268796,15,4.86s,209.82ms,0.00ns,209.71ms,355.84us,208.84ms,210.27ms
curated/03-date/unicode,count-spans,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,268796,3,7.47s,1.48s,0.00ns,1.48s,5.42ms,1.47s,1.49s
curated/03-date/compile-ascii,compile,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,,24634,4.57s,115.09us,0.00ns,115.39us,2.05us,112.29us,134.10us
curated/03-date/compile-unicode,compile,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,,21746,4.51s,130.90us,0.00ns,131.12us,1.27us,127.98us,143.40us
curated/04-ruff-noqa/real,grep-captures,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,32514634,13,5.01s,248.00ms,0.00ns,248.13ms,401.43us,247.50ms,248.86ms
curated/04-ruff-noqa/tweaked,grep-captures,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,32514634,137,4.61s,22.00ms,0.00ns,22.00ms,56.73us,21.92ms,22.24ms
curated/04-ruff-noqa/compile-real,compile,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,,1000000,3.19s,1.11us,0.00ns,1.11us,36.00ns,1.05us,6.16us
curated/05-lexer-veryl/single,count-captures,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,150600,52,4.56s,57.72ms,1.24us,57.88ms,405.70us,57.47ms,58.88ms
curated/05-lexer-veryl/compile-single,compile,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,,110437,4.57s,24.22us,0.00ns,24.33us,622.00ns,23.64us,30.14us
curated/06-cloud-flare-redos/original,count-spans,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,107,83947,4.57s,35.40us,0.00ns,35.70us,1.02us,34.35us,42.57us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,102,81884,4.57s,36.42us,0.00ns,36.61us,835.00ns,35.37us,57.96us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,10001,10,4.86s,322.85ms,31.36us,322.88ms,566.93us,322.06ms,324.04ms
curated/07-unicode-character-data/parse-line,grep-captures,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,1913704,359,4.56s,8.38ms,0.00ns,8.38ms,130.24us,8.04ms,8.82ms
curated/07-unicode-character-data/compile,compile,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,,1000000,4.54s,2.16us,0.00ns,2.16us,41.00ns,2.07us,9.17us
curated/08-words/all-english,count-spans,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,76401,4103,4.51s,729.83us,0.00ns,731.15us,7.76us,713.38us,784.10us
curated/08-words/all-russian,count-spans,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,123942,4,5.46s,904.43ms,71.37us,905.23ms,2.18ms,903.15ms,908.90ms
curated/08-words/long-english,count-spans,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,76401,2874,4.51s,1.04ms,1.00ns,1.04ms,14.38us,1.00ms,1.14ms
curated/08-words/long-russian,count-spans,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,123942,162,4.56s,18.60ms,67.00ns,18.61ms,176.35us,18.31ms,19.02ms
curated/09-aws-keys/full,grep-captures,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,32514634,95,4.61s,31.85ms,0.00ns,31.85ms,82.99us,31.69ms,32.14ms
curated/09-aws-keys/quick,grep,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,32514634,144,4.61s,20.96ms,4.12us,20.98ms,100.07us,20.79ms,21.24ms
curated/09-aws-keys/compile-full,compile,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,,739609,4.89s,3.58us,0.00ns,3.58us,69.00ns,3.42us,17.05us
curated/09-aws-keys/compile-quick,compile,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,,1000000,2.68s,856.00ns,0.00ns,860.00ns,32.00ns,798.00ns,4.60us
curated/10-bounded-repeat/letters-en,count,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,151522,1187,4.51s,2.53ms,0.00ns,2.53ms,44.57us,2.37ms,2.63ms
curated/10-bounded-repeat/letters-ru,count,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,248919,6,5.21s,575.28ms,50.71us,575.55ms,1.25ms,573.45ms,577.42ms
curated/10-bounded-repeat/context,count,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,7384531,33,4.66s,92.80ms,0.00ns,92.79ms,312.09us,92.20ms,93.79ms
curated/10-bounded-repeat/capitals,count,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,7384531,244,4.56s,12.32ms,391.00ns,12.34ms,89.23us,12.17ms,12.67ms
curated/10-bounded-repeat/compile-context,compile,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,,425171,4.73s,4.44us,0.00ns,4.44us,67.00ns,4.29us,12.46us
curated/10-bounded-repeat/compile-capitals,compile,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,,107466,4.57s,27.49us,0.00ns,27.53us,203.00ns,27.23us,35.50us
curated/11-unstructured-to-json/extract,grep-captures,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,23952,28237,4.51s,105.90us,0.00ns,106.21us,1.31us,103.11us,124.47us
curated/11-unstructured-to-json/compile,compile,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,,1000000,4.04s,1.37us,0.00ns,1.37us,40.00ns,1.30us,5.59us
curated/14-quadratic/1x,count,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,100,67169,4.57s,44.51us,0.00ns,44.63us,750.00ns,43.23us,49.72us
curated/14-quadratic/2x,count,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,200,17806,4.51s,168.08us,0.00ns,168.45us,1.98us,165.36us,183.41us
curated/14-quadratic/10x,count,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,1000,750,4.51s,3.99ms,15.00ns,4.00ms,33.42us,3.98ms,4.23ms
imported/leipzig/twain,count,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,16013977,2462,4.56s,1.22ms,0.00ns,1.22ms,16.24us,1.18ms,1.42ms
imported/leipzig/twain-insensitive,count,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,16013977,152,4.56s,19.85ms,1.89us,19.86ms,89.75us,19.65ms,20.23ms
imported/leipzig/shing,count,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,16013977,16,4.66s,192.21ms,148.37us,192.15ms,0.97ms,190.26ms,193.63ms
imported/leipzig/huck-saw,count,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,16013977,412,4.56s,7.14ms,87.00ns,7.30ms,267.85us,6.93ms,7.71ms
imported/leipzig/word-ending-nn,count,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,16013977,10,4.96s,329.04ms,9.55us,329.01ms,237.75us,328.42ms,329.28ms
