name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.0.1 (rev 8c6edf6843),dotnet/compiled,7.0.7,,899232,49269,4.61s,58.98us,0.00ns,60.79us,3.48us,57.12us,87.88us
curated/01-literal/sherlock-casei-en,count,0.0.1 (rev 8c6edf6843),dotnet/compiled,7.0.7,,899232,21810,4.61s,137.02us,0.00ns,137.44us,2.14us,134.39us,164.76us
curated/01-literal/sherlock-ru,count,0.0.1 (rev 8c6edf6843),dotnet/compiled,7.0.7,,1570556,46900,4.61s,63.76us,0.00ns,63.88us,662.00ns,60.55us,84.49us
curated/01-literal/sherlock-casei-ru,count,0.0.1 (rev 8c6edf6843),dotnet/compiled,7.0.7,,1570556,10334,4.61s,289.74us,0.00ns,290.17us,2.39us,283.05us,315.07us
curated/01-literal/sherlock-zh,count,0.0.1 (rev 8c6edf6843),dotnet/compiled,7.0.7,,813478,142930,4.67s,21.50us,0.00ns,20.93us,1.10us,18.31us,41.17us
curated/02-literal-alternate/sherlock-en,count,0.0.1 (rev 8c6edf6843),dotnet/compiled,7.0.7,,899232,13249,4.61s,225.42us,0.00ns,226.28us,3.38us,223.51us,273.09us
curated/02-literal-alternate/sherlock-casei-en,count,0.0.1 (rev 8c6edf6843),dotnet/compiled,7.0.7,,899232,1581,4.61s,1.89ms,0.00ns,1.90ms,24.93us,1.86ms,1.98ms
curated/02-literal-alternate/sherlock-ru,count,0.0.1 (rev 8c6edf6843),dotnet/compiled,7.0.7,,1570556,4410,4.61s,671.01us,1.00ns,680.18us,22.96us,666.77us,747.22us
curated/02-literal-alternate/sherlock-casei-ru,count,0.0.1 (rev 8c6edf6843),dotnet/compiled,7.0.7,,1570556,1560,4.61s,1.92ms,30.00ns,1.92ms,10.26us,1.91ms,1.97ms
curated/02-literal-alternate/sherlock-zh,count,0.0.1 (rev 8c6edf6843),dotnet/compiled,7.0.7,,813478,66708,4.61s,44.70us,0.00ns,44.90us,868.00ns,43.92us,73.83us
curated/03-date/ascii,count-spans,0.0.1 (rev 8c6edf6843),dotnet/compiled,7.0.7,,268796,14,4.96s,228.22ms,64.73us,227.87ms,4.93ms,214.90ms,238.16ms
curated/03-date/unicode,count-spans,0.0.1 (rev 8c6edf6843),dotnet/compiled,7.0.7,,268796,14,4.96s,228.09ms,42.36us,229.76ms,6.51ms,214.88ms,243.54ms
curated/03-date/compile-unicode,compile,0.0.1 (rev 8c6edf6843),dotnet/compiled,7.0.7,,,70,4.66s,1.64ms,266.00ns,2.31ms,1.83ms,1.57ms,10.39ms
curated/04-ruff-noqa/real,grep-captures,0.0.1 (rev 8c6edf6843),dotnet/compiled,7.0.7,,32514634,15,4.81s,200.73ms,0.00ns,200.70ms,308.95us,200.06ms,201.32ms
curated/04-ruff-noqa/tweaked,grep-captures,0.0.1 (rev 8c6edf6843),dotnet/compiled,7.0.7,,32514634,49,4.71s,61.22ms,0.00ns,61.23ms,231.90us,60.73ms,61.87ms
curated/04-ruff-noqa/compile-real,compile,0.0.1 (rev 8c6edf6843),dotnet/compiled,7.0.7,,,1188,4.56s,47.03us,0.00ns,52.83us,156.21us,45.51us,5.43ms
