name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
captures/contiguous-letters,count-captures,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,61436,54,4.56s,55.68ms,8.67us,55.89ms,2.47ms,52.38ms,70.08ms
curated/01-literal/sherlock-en,count,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,899232,14084,4.51s,205.58us,0.00ns,212.97us,37.16us,194.67us,604.75us
curated/01-literal/sherlock-casei-en,count,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,899232,167,4.51s,17.97ms,0.00ns,18.01ms,156.56us,17.76ms,18.48ms
curated/01-literal/sherlock-ru,count,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,1570556,4188,4.51s,703.94us,9.00ns,716.34us,66.76us,686.91us,1.42ms
curated/01-literal/sherlock-casei-ru,count,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,1570556,69,4.61s,43.77ms,0.00ns,43.82ms,239.19us,43.30ms,44.46ms
curated/01-literal/sherlock-zh,count,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,813478,7953,4.51s,378.32us,0.00ns,377.21us,10.21us,348.99us,566.20us
curated/02-literal-alternate/sherlock-en,count,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,899232,87,4.56s,34.74ms,0.00ns,34.70ms,612.37us,33.02ms,35.85ms
curated/02-literal-alternate/sherlock-casei-en,count,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,899232,55,4.61s,55.27ms,0.00ns,55.29ms,346.78us,54.39ms,56.16ms
curated/02-literal-alternate/sherlock-ru,count,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,1570556,66,4.56s,45.74ms,2.57us,45.73ms,655.53us,44.43ms,47.29ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,1570556,19,4.81s,164.85ms,0.00ns,164.94ms,731.37us,164.09ms,167.25ms
curated/02-literal-alternate/sherlock-zh,count,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,813478,178,4.56s,16.90ms,913.00ns,16.91ms,320.30us,16.12ms,17.79ms
curated/03-date/ascii,count-spans,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,268796,3,5.16s,1.02s,0.00ns,1.02s,8.35ms,1.01s,1.03s
curated/03-date/compile-ascii,compile,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,,2070,4.51s,1.32ms,12.00ns,1.35ms,239.78us,912.35us,2.11ms
curated/04-ruff-noqa/real,grep-captures,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,32514634,4,5.62s,918.76ms,2.67ms,920.86ms,6.12ms,915.28ms,930.65ms
curated/04-ruff-noqa/tweaked,grep-captures,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,32514634,69,4.56s,43.17ms,0.00ns,43.48ms,2.11ms,41.37ms,55.02ms
curated/04-ruff-noqa/compile-real,compile,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,,887250,4.90s,2.75us,0.00ns,3.05us,2.79us,2.38us,183.65us
curated/05-lexer-veryl/single,count-captures,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,150600,7,5.11s,461.23ms,0.00ns,461.66ms,4.32ms,455.01ms,467.38ms
curated/05-lexer-veryl/compile-single,compile,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,,30927,4.56s,62.81us,0.00ns,79.00us,41.39us,56.66us,442.24us
curated/06-cloud-flare-redos/original,count-spans,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,107,1000000,4.49s,2.49us,0.00ns,2.51us,579.00ns,2.29us,212.04us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,102,1000000,4.19s,2.17us,0.00ns,2.21us,602.00ns,2.04us,169.53us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,10001,14991,4.51s,199.35us,0.00ns,200.08us,8.36us,185.04us,593.70us
curated/07-unicode-character-data/parse-line,grep-captures,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,1913704,127,4.51s,22.93ms,0.00ns,23.62ms,1.87ms,22.48ms,33.76ms
curated/07-unicode-character-data/compile,compile,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,,184833,4.62s,11.85us,0.00ns,14.94us,11.10us,10.35us,236.71us
curated/08-words/all-english,count-spans,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,76401,834,4.51s,3.55ms,507.00ns,3.60ms,467.82us,3.18ms,6.68ms
curated/08-words/long-english,count-spans,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,76401,1863,4.51s,1.61ms,0.00ns,1.61ms,34.64us,1.56ms,1.89ms
curated/09-aws-keys/full,grep-captures,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,32514634,11,4.81s,278.07ms,0.00ns,278.68ms,4.38ms,274.34ms,291.18ms
curated/09-aws-keys/quick,grep,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,32514634,83,4.61s,35.80ms,0.00ns,36.41ms,2.83ms,33.57ms,52.97ms
curated/09-aws-keys/compile-full,compile,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,,117910,4.56s,19.59us,0.00ns,24.23us,17.08us,17.25us,297.75us
curated/09-aws-keys/compile-quick,compile,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,,804321,4.88s,2.91us,0.00ns,3.34us,3.22us,2.45us,178.45us
curated/10-bounded-repeat/letters-en,count,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,151522,614,4.51s,4.88ms,130.00ns,4.89ms,84.51us,4.72ms,5.30ms
curated/10-bounded-repeat/letters-ru,count,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,248919,347,4.51s,8.55ms,0.00ns,8.65ms,583.14us,8.42ms,16.31ms
curated/10-bounded-repeat/context,count,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,7384531,13,4.81s,238.19ms,0.00ns,237.97ms,1.07ms,234.77ms,239.07ms
curated/10-bounded-repeat/capitals,count,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,7384531,23,4.61s,130.33ms,0.00ns,130.49ms,0.98ms,129.03ms,132.58ms
curated/10-bounded-repeat/compile-context,compile,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,,88540,4.56s,22.93us,0.00ns,32.18us,26.34us,19.04us,296.06us
curated/10-bounded-repeat/compile-capitals,compile,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,,79083,4.56s,17.30us,0.00ns,24.55us,23.50us,13.72us,283.12us
curated/11-unstructured-to-json/extract,grep-captures,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,23952,10736,4.51s,272.22us,0.00ns,279.39us,42.18us,264.83us,725.44us
curated/11-unstructured-to-json/compile,compile,0.0.1 (rev 8c6edf6843),go/regexp,1.20.5,,,300100,4.67s,6.25us,0.00ns,7.52us,6.37us,5.34us,317.11us
