name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.0.1 (rev 8c6edf6843),javascript/v8,20.3.0,,899232,21794,4.61s,136.68us,0.00ns,137.51us,4.59us,132.25us,191.87us
curated/01-literal/sherlock-casei-en,count,0.0.1 (rev 8c6edf6843),javascript/v8,20.3.0,,899232,9476,4.56s,287.28us,0.00ns,316.49us,39.03us,274.00us,416.39us
curated/01-literal/sherlock-ru,count,0.0.1 (rev 8c6edf6843),javascript/v8,20.3.0,,1570556,82357,4.61s,36.03us,0.00ns,36.19us,1.44us,34.47us,68.54us
curated/01-literal/sherlock-casei-ru,count,0.0.1 (rev 8c6edf6843),javascript/v8,20.3.0,,1570556,6749,4.61s,440.55us,0.00ns,444.39us,9.01us,434.84us,504.91us
curated/01-literal/sherlock-zh,count,0.0.1 (rev 8c6edf6843),javascript/v8,20.3.0,,813478,42155,4.61s,72.27us,0.00ns,71.05us,2.50us,67.18us,106.96us
curated/02-literal-alternate/sherlock-en,count,0.0.1 (rev 8c6edf6843),javascript/v8,20.3.0,,899232,2411,4.56s,1.24ms,0.00ns,1.24ms,12.96us,1.22ms,1.36ms
curated/02-literal-alternate/sherlock-casei-en,count,0.0.1 (rev 8c6edf6843),javascript/v8,20.3.0,,899232,2348,4.56s,1.28ms,1.00ns,1.28ms,11.66us,1.25ms,1.34ms
curated/02-literal-alternate/sherlock-ru,count,0.0.1 (rev 8c6edf6843),javascript/v8,20.3.0,,1570556,1882,4.61s,1.59ms,6.00ns,1.59ms,8.63us,1.58ms,1.65ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.0.1 (rev 8c6edf6843),javascript/v8,20.3.0,,1570556,1197,4.56s,2.51ms,0.00ns,2.51ms,20.83us,2.45ms,2.58ms
curated/02-literal-alternate/sherlock-zh,count,0.0.1 (rev 8c6edf6843),javascript/v8,20.3.0,,813478,26286,4.61s,113.76us,0.00ns,113.99us,1.61us,112.59us,145.87us
curated/03-date/ascii,count-spans,0.0.1 (rev 8c6edf6843),javascript/v8,20.3.0,,268796,384,4.56s,7.81ms,164.00ns,7.81ms,34.00us,7.76ms,7.99ms
