name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
captures/contiguous-letters,count-captures,0.0.1 (rev 8c6edf6843),rust/regex,1.9.0,,61436,559,4.51s,5.37ms,0.00ns,5.37ms,97.47us,5.15ms,5.65ms
curated/01-literal/sherlock-en,count,0.0.1 (rev 8c6edf6843),rust/regex,1.9.0,,899232,112397,4.57s,26.56us,0.00ns,26.66us,353.00ns,25.22us,34.10us
curated/01-literal/sherlock-casei-en,count,0.0.1 (rev 8c6edf6843),rust/regex,1.9.0,,899232,36140,4.56s,83.87us,0.00ns,82.97us,4.43us,72.95us,103.08us
curated/01-literal/sherlock-ru,count,0.0.1 (rev 8c6edf6843),rust/regex,1.9.0,,1570556,64764,4.56s,46.70us,0.00ns,46.29us,1.07us,44.35us,57.32us
curated/01-literal/sherlock-casei-ru,count,0.0.1 (rev 8c6edf6843),rust/regex,1.9.0,,1570556,17668,4.51s,167.19us,2.00ns,169.77us,7.18us,160.60us,214.30us
curated/01-literal/sherlock-zh,count,0.0.1 (rev 8c6edf6843),rust/regex,1.9.0,,813478,157397,4.62s,18.79us,0.00ns,19.02us,397.00ns,18.57us,26.25us
curated/02-literal-alternate/sherlock-en,count,0.0.1 (rev 8c6edf6843),rust/regex,1.9.0,,899232,44254,4.56s,66.76us,0.00ns,67.75us,3.97us,64.49us,101.94us
curated/02-literal-alternate/sherlock-casei-en,count,0.0.1 (rev 8c6edf6843),rust/regex,1.9.0,,899232,10490,4.51s,284.55us,1.00ns,285.97us,5.21us,277.29us,329.24us
curated/02-literal-alternate/sherlock-ru,count,0.0.1 (rev 8c6edf6843),rust/regex,1.9.0,,1570556,13281,4.51s,225.29us,0.00ns,225.85us,2.94us,222.72us,260.34us
curated/02-literal-alternate/sherlock-casei-ru,count,0.0.1 (rev 8c6edf6843),rust/regex,1.9.0,,1570556,3054,4.51s,0.98ms,5.00ns,0.98ms,14.90us,949.48us,1.07ms
curated/02-literal-alternate/sherlock-zh,count,0.0.1 (rev 8c6edf6843),rust/regex,1.9.0,,813478,52433,4.56s,59.93us,0.00ns,57.18us,4.51us,49.77us,69.88us
curated/03-date/ascii,count-spans,0.0.1 (rev 8c6edf6843),rust/regex,1.9.0,,268796,1908,4.51s,1.57ms,11.00ns,1.57ms,11.80us,1.54ms,1.65ms
curated/03-date/unicode,count-spans,0.0.1 (rev 8c6edf6843),rust/regex,1.9.0,,268796,1901,4.51s,1.58ms,0.00ns,1.58ms,11.58us,1.55ms,1.65ms
