name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.0.1 (rev 8c6edf6843),dotnet/nobacktrack,7.0.7,,899232,30164,4.61s,98.53us,0.00ns,99.38us,4.17us,91.84us,128.03us
curated/01-literal/sherlock-casei-en,count,0.0.1 (rev 8c6edf6843),dotnet/nobacktrack,7.0.7,,899232,14662,4.61s,204.20us,1.00ns,204.51us,4.57us,196.23us,248.90us
curated/01-literal/sherlock-ru,count,0.0.1 (rev 8c6edf6843),dotnet/nobacktrack,7.0.7,,1570556,14802,4.61s,200.96us,1.00ns,202.56us,3.75us,197.51us,229.89us
curated/01-literal/sherlock-casei-ru,count,0.0.1 (rev 8c6edf6843),dotnet/nobacktrack,7.0.7,,1570556,5103,4.61s,586.19us,0.00ns,587.84us,5.70us,576.81us,638.50us
curated/01-literal/sherlock-zh,count,0.0.1 (rev 8c6edf6843),dotnet/nobacktrack,7.0.7,,813478,118508,4.62s,25.72us,0.00ns,25.26us,1.14us,22.37us,48.63us
curated/02-literal-alternate/sherlock-en,count,0.0.1 (rev 8c6edf6843),dotnet/nobacktrack,7.0.7,,899232,9416,4.61s,317.90us,1.00ns,318.54us,6.93us,307.39us,368.52us
curated/02-literal-alternate/sherlock-casei-en,count,0.0.1 (rev 8c6edf6843),dotnet/nobacktrack,7.0.7,,899232,1294,4.61s,2.29ms,97.00ns,2.32ms,66.21us,2.25ms,2.60ms
curated/02-literal-alternate/sherlock-ru,count,0.0.1 (rev 8c6edf6843),dotnet/nobacktrack,7.0.7,,1570556,2028,4.61s,1.47ms,21.00ns,1.48ms,23.73us,1.45ms,1.58ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.0.1 (rev 8c6edf6843),dotnet/nobacktrack,7.0.7,,1570556,592,4.61s,5.05ms,205.00ns,5.07ms,65.19us,4.99ms,5.44ms
curated/02-literal-alternate/sherlock-zh,count,0.0.1 (rev 8c6edf6843),dotnet/nobacktrack,7.0.7,,813478,40432,4.61s,73.87us,0.00ns,74.13us,1.42us,71.57us,97.94us
curated/04-ruff-noqa/real,grep-captures,0.0.1 (rev 8c6edf6843),dotnet/nobacktrack,7.0.7,,32514634,24,4.91s,128.35ms,78.19us,128.54ms,1.25ms,125.53ms,131.07ms
