name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
dictionary/compile/english-15,compile,0.1.0 (rev bb7ae7904f),d/dmd/std-regex,2.105,,,1870,4.51s,27.70us,0.00ns,27.81us,721.00ns,19.35us,54.98us
dictionary/search/english-15,count-spans,0.1.0 (rev bb7ae7904f),d/dmd/std-regex,2.105,,61436,1557,4.56s,1.93ms,0.00ns,1.93ms,7.79us,1.91ms,2.01ms
imported/leipzig/twain,count,0.1.0 (rev bb7ae7904f),d/dmd/std-regex,2.105,,16013977,4410,4.56s,677.73us,2.00ns,680.23us,15.69us,666.13us,918.66us
imported/leipzig/twain-insensitive,count,0.1.0 (rev bb7ae7904f),d/dmd/std-regex,2.105,,16013977,467,4.56s,6.42ms,0.00ns,6.43ms,36.76us,6.39ms,6.75ms
imported/leipzig/shing,count,0.1.0 (rev bb7ae7904f),d/dmd/std-regex,2.105,,16013977,460,4.56s,6.51ms,96.00ns,6.53ms,46.08us,6.49ms,6.88ms
imported/leipzig/huck-saw,count,0.1.0 (rev bb7ae7904f),d/dmd/std-regex,2.105,,16013977,464,4.56s,6.47ms,4.00ns,6.47ms,22.26us,6.45ms,6.65ms
imported/leipzig/word-ending-nn,count,0.1.0 (rev bb7ae7904f),d/dmd/std-regex,2.105,,16013977,7,4.81s,430.96ms,0.00ns,430.94ms,1.23ms,429.56ms,433.29ms
imported/leipzig/certain-long-strings-ending-x,count,0.1.0 (rev bb7ae7904f),d/dmd/std-regex,2.105,,16013977,5,5.62s,693.12ms,0.00ns,694.55ms,3.58ms,691.52ms,701.24ms
imported/leipzig/tom-sawyer-huckle-finn,count,0.1.0 (rev bb7ae7904f),d/dmd/std-regex,2.105,,16013977,368,4.56s,8.15ms,144.00ns,8.16ms,71.24us,8.02ms,8.46ms
imported/leipzig/tom-sawyer-huckle-fin-insensitive,count,0.1.0 (rev bb7ae7904f),d/dmd/std-regex,2.105,,16013977,83,4.56s,36.52ms,0.00ns,36.31ms,662.99us,34.78ms,37.34ms
imported/leipzig/tom-sawyer-huckle-fin-prefix-short,count,0.1.0 (rev bb7ae7904f),d/dmd/std-regex,2.105,,16013977,2,6.72s,2.17s,602.38us,2.17s,602.38us,2.17s,2.17s
imported/leipzig/tom-sawyer-huckle-fin-prefix-long,count,0.1.0 (rev bb7ae7904f),d/dmd/std-regex,2.105,,16013977,2,7.17s,2.35s,2.31ms,2.35s,2.31ms,2.34s,2.35s
