name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,899232,9975,4.51s,291.33us,0.00ns,300.02us,14.80us,286.63us,398.79us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,899232,1909,4.51s,1.57ms,0.00ns,1.57ms,5.63us,1.56ms,1.60ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,1570556,6885,4.51s,433.98us,0.00ns,434.72us,4.32us,425.67us,512.33us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,1570556,194,4.56s,15.51ms,261.00ns,15.51ms,64.40us,15.35ms,15.68ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,813478,29473,4.51s,100.51us,0.00ns,101.10us,2.07us,98.04us,168.87us
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,899232,3820,4.51s,784.46us,2.00ns,784.67us,4.97us,768.78us,810.31us
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,899232,393,4.51s,7.64ms,0.00ns,7.64ms,18.78us,7.60ms,7.72ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,1570556,229,4.56s,13.15ms,0.00ns,13.15ms,30.98us,13.06ms,13.23ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,1570556,149,4.56s,20.12ms,0.00ns,20.13ms,87.62us,20.00ms,20.59ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,813478,882,4.51s,3.40ms,68.00ns,3.40ms,23.13us,3.36ms,3.50ms
curated/03-date/ascii,count-spans,0.1.0 (rev bb7ae7904f),perl,5.38.0,,268796,33,4.61s,91.59ms,0.00ns,91.58ms,291.78us,90.85ms,92.15ms
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev bb7ae7904f),perl,5.38.0,,32514634,10,4.71s,306.40ms,77.40us,306.46ms,332.16us,305.98ms,307.18ms
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev bb7ae7904f),perl,5.38.0,,32514634,13,4.96s,242.02ms,0.00ns,240.44ms,2.18ms,237.32ms,242.65ms
curated/05-lexer-veryl/single,count-captures,0.1.0 (rev bb7ae7904f),perl,5.38.0,,150600,24,4.66s,129.69ms,8.58us,129.58ms,683.25us,126.51ms,130.14ms
curated/06-cloud-flare-redos/original,count-spans,0.1.0 (rev bb7ae7904f),perl,5.38.0,,107,293862,4.57s,9.48us,0.00ns,9.60us,330.00ns,9.13us,35.38us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev bb7ae7904f),perl,5.38.0,,102,301456,4.57s,9.34us,0.00ns,9.36us,310.00ns,8.94us,73.34us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.1.0 (rev bb7ae7904f),perl,5.38.0,,10001,55,4.61s,55.31ms,0.00ns,55.50ms,325.31us,55.22ms,56.39ms
curated/07-unicode-character-data/parse-line,grep-captures,0.1.0 (rev bb7ae7904f),perl,5.38.0,,1913704,38,4.56s,79.01ms,2.67us,79.06ms,422.05us,78.49ms,80.32ms
curated/08-words/all-english,count-spans,0.1.0 (rev bb7ae7904f),perl,5.38.0,,76401,583,4.51s,5.15ms,0.00ns,5.15ms,13.66us,5.11ms,5.23ms
curated/08-words/all-russian,count-spans,0.1.0 (rev bb7ae7904f),perl,5.38.0,,123942,20,4.76s,153.10ms,3.08us,155.72ms,3.40ms,153.01ms,160.33ms
curated/08-words/long-english,count-spans,0.1.0 (rev bb7ae7904f),perl,5.38.0,,76401,4255,4.51s,707.59us,0.00ns,704.49us,11.82us,677.43us,782.72us
curated/08-words/long-russian,count-spans,0.1.0 (rev bb7ae7904f),perl,5.38.0,,123942,750,4.51s,3.98ms,20.00ns,4.00ms,49.37us,3.97ms,4.14ms
curated/09-aws-keys/full,grep-captures,0.1.0 (rev bb7ae7904f),perl,5.38.0,,32514634,10,4.76s,307.43ms,71.56us,305.74ms,5.20ms,290.16ms,307.99ms
curated/09-aws-keys/quick,grep,0.1.0 (rev bb7ae7904f),perl,5.38.0,,32514634,14,4.91s,226.94ms,21.70us,226.96ms,294.33us,226.57ms,227.68ms
curated/10-bounded-repeat/letters-en,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,151522,1461,4.51s,2.05ms,0.00ns,2.05ms,19.67us,2.03ms,2.19ms
curated/10-bounded-repeat/letters-ru,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,248919,677,4.51s,4.43ms,0.00ns,4.44ms,20.45us,4.41ms,4.61ms
curated/10-bounded-repeat/context,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,7384531,39,4.66s,78.02ms,0.00ns,78.01ms,154.39us,77.64ms,78.40ms
curated/10-bounded-repeat/capitals,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,7384531,89,4.56s,33.81ms,0.00ns,33.80ms,268.97us,33.13ms,34.53ms
curated/11-unstructured-to-json/extract,grep-captures,0.1.0 (rev bb7ae7904f),perl,5.38.0,,23952,19124,4.51s,155.93us,0.00ns,156.13us,1.57us,152.12us,169.29us
curated/12-dictionary/single,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,61436,6469,4.51s,462.13us,0.00ns,463.08us,4.40us,453.96us,534.60us
curated/14-quadratic/1x,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,100,79575,4.57s,36.85us,0.00ns,37.07us,752.00ns,36.11us,103.82us
curated/14-quadratic/2x,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,200,27423,4.51s,108.64us,0.00ns,108.80us,1.79us,106.69us,172.82us
curated/14-quadratic/10x,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,1000,1550,4.51s,1.93ms,10.00ns,1.94ms,16.87us,1.92ms,2.05ms
imported/leipzig/twain,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,16013977,447,4.56s,6.47ms,0.00ns,6.72ms,306.07us,6.44ms,7.18ms
imported/leipzig/twain-insensitive,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,16013977,181,4.56s,16.62ms,0.00ns,16.66ms,93.52us,16.56ms,17.06ms
imported/leipzig/shing,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,16013977,858,4.56s,3.49ms,9.00ns,3.50ms,25.09us,3.47ms,3.61ms
imported/leipzig/huck-saw,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,16013977,431,4.56s,6.98ms,0.00ns,6.97ms,34.93us,6.84ms,7.03ms
imported/leipzig/word-ending-nn,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,16013977,14,4.66s,218.15ms,165.48us,218.21ms,371.63us,217.77ms,218.92ms
imported/leipzig/certain-long-strings-ending-x,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,16013977,1969,4.56s,1.52ms,0.00ns,1.52ms,10.43us,1.50ms,1.58ms
imported/leipzig/tom-sawyer-huckle-finn,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,16013977,357,4.56s,8.41ms,0.00ns,8.41ms,38.14us,8.31ms,8.63ms
imported/leipzig/tom-sawyer-huckle-fin-insensitive,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,16013977,21,4.81s,147.85ms,0.00ns,147.89ms,146.36us,147.62ms,148.15ms
imported/leipzig/tom-sawyer-huckle-fin-prefix-short,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,16013977,6,4.61s,508.12ms,63.05us,508.19ms,1.99ms,505.86ms,512.06ms
imported/leipzig/tom-sawyer-huckle-fin-prefix-long,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,16013977,7,5.52s,493.69ms,0.00ns,493.55ms,687.62us,492.06ms,494.28ms
imported/leipzig/tom-river,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,16013977,159,4.56s,18.90ms,0.00ns,18.90ms,92.36us,18.71ms,19.22ms
imported/leipzig/ing,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,16013977,19,4.66s,158.52ms,0.00ns,158.58ms,276.83us,158.10ms,159.19ms
imported/leipzig/ing-whitespace,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,16013977,100,4.56s,30.11ms,1.16us,30.11ms,111.26us,29.87ms,30.40ms
imported/leipzig/awyer-inn,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,16013977,7,5.11s,460.00ms,0.00ns,459.59ms,657.44us,458.64ms,460.48ms
imported/leipzig/quotes-bounded,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,16013977,155,4.56s,19.36ms,0.00ns,19.38ms,141.95us,19.10ms,20.13ms
imported/leipzig/non-ascii-alternate,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,16013977,89,4.61s,34.06ms,0.00ns,34.07ms,27.19us,34.02ms,34.14ms
imported/leipzig/math-symbols,count,0.1.0 (rev bb7ae7904f),perl,5.38.0,,16013977,80,4.61s,37.69ms,154.00ns,37.72ms,130.57us,37.59ms,38.49ms
imported/leipzig/bounded-strings-ending-z,count-spans,0.1.0 (rev bb7ae7904f),perl,5.38.0,,16013977,11437,4.56s,262.32us,0.00ns,261.32us,5.00us,253.24us,310.33us
