name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev bb7ae7904f),python/regex,2023.10.3,,899232,11978,4.56s,241.60us,0.00ns,250.12us,12.73us,237.88us,513.02us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev bb7ae7904f),python/regex,2023.10.3,,899232,10529,4.56s,277.33us,0.00ns,284.62us,11.69us,275.29us,453.07us
curated/01-literal/sherlock-ru,count,0.1.0 (rev bb7ae7904f),python/regex,2023.10.3,,1570556,9142,4.56s,321.69us,0.00ns,327.64us,16.96us,319.26us,507.36us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev bb7ae7904f),python/regex,2023.10.3,,1570556,7947,4.56s,376.43us,0.00ns,377.00us,3.11us,373.71us,561.03us
curated/01-literal/sherlock-zh,count,0.1.0 (rev bb7ae7904f),python/regex,2023.10.3,,813478,26814,4.57s,111.38us,0.00ns,111.56us,1.41us,111.20us,276.64us
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev bb7ae7904f),python/regex,2023.10.3,,899232,1033,4.56s,2.91ms,0.00ns,2.91ms,24.71us,2.87ms,3.10ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev bb7ae7904f),python/regex,2023.10.3,,899232,236,4.56s,12.72ms,134.00ns,12.72ms,20.07us,12.67ms,12.81ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev bb7ae7904f),python/regex,2023.10.3,,1570556,577,4.56s,5.20ms,0.00ns,5.20ms,21.99us,5.18ms,5.42ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev bb7ae7904f),python/regex,2023.10.3,,1570556,176,4.56s,17.11ms,71.00ns,17.13ms,114.72us,16.96ms,17.99ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev bb7ae7904f),python/regex,2023.10.3,,813478,3589,4.56s,834.66us,0.00ns,835.76us,3.90us,833.24us,1.01ms
curated/03-date/ascii,count-spans,0.1.0 (rev bb7ae7904f),python/regex,2023.10.3,,268796,14,4.92s,230.42ms,26.48us,230.62ms,872.28us,229.28ms,232.30ms
curated/03-date/unicode,count-spans,0.1.0 (rev bb7ae7904f),python/regex,2023.10.3,,268796,12,4.77s,259.60ms,242.20us,259.65ms,802.27us,258.24ms,260.72ms
curated/03-date/compile-ascii,compile,0.1.0 (rev bb7ae7904f),python/regex,2023.10.3,,,284,4.56s,10.03ms,153.00ns,10.56ms,1.42ms,9.78ms,15.75ms
curated/03-date/compile-unicode,compile,0.1.0 (rev bb7ae7904f),python/regex,2023.10.3,,,101,4.56s,29.31ms,0.00ns,29.89ms,1.46ms,28.98ms,33.90ms
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev bb7ae7904f),python/regex,2023.10.3,,32514634,8,4.97s,399.23ms,2.02us,399.21ms,195.46us,398.89ms,399.58ms
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev bb7ae7904f),python/regex,2023.10.3,,32514634,10,4.82s,309.20ms,41.65us,309.26ms,183.72us,309.08ms,309.71ms
curated/04-ruff-noqa/compile-real,compile,0.1.0 (rev bb7ae7904f),python/regex,2023.10.3,,,18369,4.57s,156.30us,0.00ns,161.36us,20.19us,152.11us,816.64us
curated/05-lexer-veryl/single,count-captures,0.1.0 (rev bb7ae7904f),python/regex,2023.10.3,,150600,34,4.61s,89.21ms,10.92us,89.30ms,304.91us,88.83ms,90.20ms
curated/05-lexer-veryl/compile-single,compile,0.1.0 (rev bb7ae7904f),python/regex,2023.10.3,,,1213,4.56s,2.38ms,0.00ns,2.47ms,231.71us,2.32ms,4.03ms
curated/06-cloud-flare-redos/original,count-spans,0.1.0 (rev bb7ae7904f),python/regex,2023.10.3,,107,182098,4.58s,16.18us,0.00ns,16.23us,3.10us,15.84us,1.29ms
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev bb7ae7904f),python/regex,2023.10.3,,102,186625,4.57s,15.80us,0.00ns,15.85us,2.27us,15.44us,0.96ms
curated/06-cloud-flare-redos/simplified-long,count-spans,0.1.0 (rev bb7ae7904f),python/regex,2023.10.3,,10001,29,4.71s,106.31ms,0.00ns,106.32ms,23.80us,106.29ms,106.38ms
