name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
captures/contiguous-letters,count-captures,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,61436,1063,4.51s,2.82ms,0.00ns,2.82ms,13.41us,2.79ms,2.95ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,899232,94257,4.57s,31.77us,0.00ns,31.79us,739.00ns,30.41us,150.51us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,899232,60532,4.57s,49.56us,0.00ns,49.51us,1.07us,46.49us,164.68us
curated/01-literal/sherlock-ru,count,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,1570556,65550,4.57s,45.68us,0.00ns,45.72us,915.00ns,43.72us,163.01us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,1570556,36406,4.57s,82.63us,0.00ns,82.36us,3.69us,75.26us,206.50us
curated/01-literal/sherlock-zh,count,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,813478,145389,4.57s,20.55us,0.00ns,20.60us,682.00ns,18.22us,142.17us
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,899232,5357,4.51s,550.37us,0.00ns,560.02us,18.50us,535.92us,664.08us
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,899232,2269,4.51s,1.32ms,0.00ns,1.32ms,18.02us,1.28ms,1.37ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,1570556,2382,4.51s,1.26ms,1.00ns,1.26ms,9.32us,1.24ms,1.38ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,1570556,596,4.51s,5.03ms,111.00ns,5.03ms,27.24us,4.98ms,5.17ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,813478,9764,4.51s,306.66us,0.00ns,307.23us,2.17us,304.56us,421.03us
curated/03-date/ascii,count-spans,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,268796,248,4.56s,12.14ms,31.00ns,12.15ms,21.80us,12.12ms,12.37ms
curated/03-date/unicode,count-spans,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,268796,152,4.56s,19.79ms,31.00ns,19.80ms,58.41us,19.75ms,20.21ms
curated/03-date/compile-ascii,compile,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,,4270,4.51s,680.46us,58.00ns,694.14us,62.70us,666.43us,1.22ms
curated/03-date/compile-unicode,compile,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,,3086,4.51s,941.76us,2.00ns,0.96ms,61.31us,929.41us,1.35ms
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,32514634,56,4.62s,54.44ms,758.00ns,54.43ms,195.27us,54.06ms,55.16ms
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,32514634,143,4.57s,21.10ms,0.00ns,21.12ms,87.03us,20.98ms,21.55ms
curated/04-ruff-noqa/compile-real,compile,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,,334185,4.68s,6.78us,0.00ns,6.90us,4.14us,6.61us,321.07us
curated/05-lexer-veryl/single,count-captures,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,150600,260,4.51s,11.54ms,18.00ns,11.55ms,40.78us,11.51ms,11.79ms
curated/05-lexer-veryl/compile-single,compile,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,,22754,4.52s,124.57us,0.00ns,128.01us,32.17us,121.88us,745.48us
curated/06-cloud-flare-redos/original,count-spans,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,107,1000000,4.10s,2.05us,0.00ns,2.07us,140.00ns,1.96us,115.88us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,102,1000000,4.24s,2.29us,0.00ns,2.29us,126.00ns,2.25us,118.02us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,10001,207,4.56s,14.55ms,0.00ns,14.55ms,12.34us,14.53ms,14.66ms
curated/07-unicode-character-data/parse-line,grep-captures,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,1913704,1151,4.51s,2.61ms,0.00ns,2.61ms,28.47us,2.54ms,2.75ms
curated/07-unicode-character-data/compile,compile,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,,205323,4.62s,12.13us,0.00ns,12.27us,3.60us,11.91us,219.62us
curated/08-words/all-english,count-spans,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,76401,7859,4.51s,381.19us,0.00ns,381.72us,4.26us,372.26us,496.71us
curated/08-words/all-russian,count-spans,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,123942,5799,4.51s,517.03us,0.00ns,517.38us,5.03us,504.25us,536.13us
curated/08-words/long-english,count-spans,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,76401,10060,4.51s,296.67us,0.00ns,298.19us,3.88us,293.40us,416.99us
curated/08-words/long-russian,count-spans,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,123942,4969,4.51s,602.94us,0.00ns,603.76us,9.05us,586.94us,726.73us
curated/09-aws-keys/full,grep-captures,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,32514634,116,4.56s,25.93ms,1.72us,25.94ms,225.82us,25.57ms,26.57ms
curated/09-aws-keys/quick,grep,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,32514634,98,4.56s,30.63ms,1.44us,30.78ms,312.12us,30.45ms,31.56ms
curated/09-aws-keys/compile-full,compile,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,,134442,4.57s,19.81us,0.00ns,19.99us,3.53us,19.46us,167.26us
curated/09-aws-keys/compile-quick,compile,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,,425854,4.73s,4.85us,0.00ns,4.95us,4.62us,4.62us,459.90us
curated/10-bounded-repeat/letters-en,count,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,151522,6939,4.51s,431.62us,0.00ns,432.31us,2.99us,427.39us,547.92us
curated/10-bounded-repeat/letters-ru,count,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,248919,3623,4.51s,821.82us,0.00ns,828.10us,17.31us,811.01us,938.74us
curated/10-bounded-repeat/context,count,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,7384531,161,4.56s,18.65ms,0.00ns,18.67ms,132.58us,18.42ms,19.25ms
curated/10-bounded-repeat/capitals,count,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,7384531,662,4.56s,4.52ms,10.00ns,4.54ms,82.72us,4.45ms,5.03ms
curated/10-bounded-repeat/compile-context,compile,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,,433808,4.73s,5.38us,0.00ns,5.50us,4.97us,5.25us,430.53us
curated/10-bounded-repeat/compile-capitals,compile,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,,76641,4.56s,36.73us,0.00ns,36.94us,2.75us,36.26us,141.53us
curated/11-unstructured-to-json/extract,grep-captures,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,23952,196210,4.62s,14.63us,0.00ns,15.26us,1.13us,14.23us,128.93us
curated/11-unstructured-to-json/compile,compile,0.1.0 (rev 79305bcb5f),pcre2/jit,10.42 2022-12-11,,,316327,4.67s,6.96us,0.00ns,7.07us,4.02us,6.79us,341.64us
