name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,899232,195,4.51s,15.35ms,0.00ns,15.40ms,142.33us,15.22ms,15.90ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,899232,198,4.51s,15.20ms,48.00ns,15.21ms,74.18us,15.02ms,15.52ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,1570556,237,4.56s,12.67ms,0.00ns,12.68ms,103.80us,12.36ms,12.97ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,813478,627,4.51s,4.79ms,0.00ns,4.79ms,45.83us,4.68ms,5.03ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,899232,110,4.56s,27.46ms,8.14us,27.45ms,272.14us,26.90ms,28.19ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,899232,77,4.56s,39.38ms,0.00ns,39.37ms,290.75us,38.60ms,40.01ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,1570556,94,4.51s,31.98ms,5.74us,31.97ms,334.39us,30.93ms,32.74ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,813478,274,4.56s,10.97ms,1.33us,10.99ms,168.24us,10.65ms,11.45ms
curated/03-date/ascii,count-spans,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,268796,12,4.97s,270.28ms,28.31us,271.87ms,6.10ms,268.93ms,292.01ms
curated/03-date/compile-ascii,compile,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,,2746,4.51s,355.71us,1.00ns,348.71us,14.92us,321.67us,381.19us
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,32514634,3,5.16s,1.03s,0.00ns,1.03s,175.56us,1.03s,1.03s
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,32514634,6,4.76s,522.41ms,165.98us,522.54ms,619.43us,521.87ms,523.59ms
curated/04-ruff-noqa/compile-real,compile,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,,997390,4.94s,2.22us,0.00ns,2.22us,174.00ns,1.95us,117.61us
curated/05-lexer-veryl/single,count-captures,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,150600,11,5.06s,298.62ms,0.00ns,298.64ms,134.87us,298.50ms,299.02ms
curated/05-lexer-veryl/compile-single,compile,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,,6956,4.51s,46.09us,1.00ns,46.18us,875.00ns,44.16us,58.69us
curated/06-cloud-flare-redos/original,count-spans,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,107,506968,4.78s,5.86us,0.00ns,5.89us,135.00ns,5.60us,14.97us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,102,627139,4.78s,4.74us,0.00ns,4.75us,189.00ns,4.40us,122.28us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,10001,6596,4.51s,453.88us,3.00ns,454.85us,9.06us,422.68us,570.17us
curated/07-unicode-character-data/parse-line,grep-captures,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,1913704,50,4.56s,60.19ms,3.69us,60.23ms,288.59us,59.94ms,61.73ms
curated/07-unicode-character-data/compile,compile,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,,394323,4.72s,4.26us,0.00ns,4.27us,217.00ns,3.90us,120.42us
curated/08-words/all-english,count-spans,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,76401,1288,4.51s,2.33ms,13.00ns,2.33ms,30.29us,2.26ms,2.51ms
curated/08-words/long-english,count-spans,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,76401,1838,4.51s,1.63ms,15.00ns,1.63ms,16.45us,1.58ms,1.69ms
curated/09-aws-keys/full,grep-captures,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,32514634,3,7.12s,1.42s,0.00ns,1.42s,0.97ms,1.42s,1.42s
curated/09-aws-keys/quick,grep,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,32514634,4,5.51s,907.57ms,776.88us,907.65ms,917.96us,906.71ms,908.78ms
curated/09-aws-keys/compile-full,compile,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,,102685,4.57s,9.47us,0.00ns,9.58us,3.20us,8.89us,230.14us
curated/09-aws-keys/compile-quick,compile,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,,1000000,4.99s,1.60us,0.00ns,1.60us,136.00ns,1.35us,119.00us
curated/10-bounded-repeat/letters-en,count,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,151522,582,4.51s,5.15ms,213.00ns,5.16ms,67.52us,4.90ms,5.42ms
curated/10-bounded-repeat/context,count,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,7384531,13,4.91s,243.10ms,0.00ns,243.22ms,912.25us,241.77ms,245.23ms
curated/10-bounded-repeat/capitals,count,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,7384531,25,4.66s,124.54ms,0.00ns,124.54ms,226.78us,124.07ms,124.93ms
curated/10-bounded-repeat/compile-context,compile,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,,176568,4.62s,8.58us,0.00ns,8.59us,208.00ns,6.66us,14.62us
curated/10-bounded-repeat/compile-capitals,compile,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,,129024,4.57s,13.57us,0.00ns,13.57us,310.00ns,8.92us,19.07us
curated/11-unstructured-to-json/extract,grep-captures,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,23952,3335,4.51s,896.80us,0.00ns,899.74us,9.26us,887.18us,1.01ms
curated/11-unstructured-to-json/compile,compile,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,,290077,4.67s,2.59us,0.00ns,2.60us,79.00ns,2.34us,4.72us
curated/12-dictionary/single,count,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,61436,3,6.02s,1.16s,0.00ns,1.16s,2.06ms,1.16s,1.16s
curated/12-dictionary/compile-single,compile,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,,1327,4.51s,1.76ms,0.00ns,1.78ms,50.41us,1.70ms,1.94ms
curated/14-quadratic/1x,count,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,100,32317,4.56s,92.25us,0.00ns,92.79us,2.34us,88.32us,211.73us
curated/14-quadratic/2x,count,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,200,8761,4.51s,340.10us,0.00ns,342.42us,8.90us,329.30us,463.79us
curated/14-quadratic/10x,count,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,1000,367,4.51s,8.19ms,0.00ns,8.19ms,116.97us,7.93ms,8.70ms
imported/regex-redux/regex-redux,regex-redux,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,,8,4.61s,379.69ms,70.90us,379.90ms,828.06us,378.85ms,381.48ms
reported/i1095-word-repetition/ascii-compile,compile,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,,11771,4.51s,4.76us,0.00ns,4.89us,388.00ns,3.77us,7.79us
reported/i1095-word-repetition/ascii-search,count-spans,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,256,12317,4.51s,243.02us,0.00ns,243.54us,6.33us,229.54us,281.76us
reported/i988-cloudflare-compile/javascript-obfuscation,compile,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,,1000000,1.99s,428.00ns,0.00ns,431.00ns,35.00ns,332.00ns,5.05us
reported/i988-cloudflare-compile/sql-injection,compile,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,,307219,4.67s,6.78us,0.00ns,6.80us,179.00ns,6.34us,13.39us
slow/quadratic-regex-1x,count,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,99,881,4.51s,3.41ms,0.00ns,3.41ms,48.15us,3.28ms,3.58ms
slow/quadratic-regex-2x,count,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,198,117,4.56s,25.70ms,0.00ns,25.73ms,250.86us,25.25ms,26.41ms
slow/quadratic-haystack-1x,count,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,100,32244,4.56s,92.64us,0.00ns,93.01us,2.11us,88.68us,217.04us
slow/quadratic-haystack-2x,count,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,200,8762,4.51s,340.93us,1.00ns,342.35us,7.26us,326.47us,394.23us
unicode/codepoints/any-one,count,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,4382592,63,4.61s,48.02ms,0.00ns,48.01ms,234.07us,47.53ms,48.67ms
unicode/codepoints/any-all,count-spans,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,4382592,117,4.56s,25.80ms,0.00ns,25.70ms,323.42us,24.78ms,26.43ms
unicode/word/boundary-any-english,count-spans,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,613357,158,4.56s,18.97ms,0.96us,19.00ms,165.21us,18.73ms,19.60ms
unicode/word/boundary-long-english,count-spans,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,613357,205,4.56s,14.65ms,0.00ns,14.65ms,47.31us,14.53ms,14.78ms
unicode/word/around-holmes-english,count-spans,0.1.0 (rev 79305bcb5f),rust/regex/lite,0.1.5,,613357,171,4.56s,17.56ms,0.00ns,17.56ms,130.45us,17.26ms,17.96ms
