name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.0.1 (rev c050f4a04c),dotnet/nobacktrack,7.0.3,,899232,28083,4.61s,106.53us,0.00ns,106.74us,3.33us,100.16us,133.74us
curated/01-literal/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),dotnet/nobacktrack,7.0.3,,899232,14614,4.61s,204.77us,0.00ns,205.17us,4.43us,195.78us,247.62us
curated/01-literal/sherlock-ru,count,0.0.1 (rev c050f4a04c),dotnet/nobacktrack,7.0.3,,1570556,14085,4.61s,210.63us,0.00ns,212.88us,4.81us,206.54us,232.72us
curated/01-literal/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),dotnet/nobacktrack,7.0.3,,1570556,5039,4.61s,593.78us,0.00ns,595.25us,5.13us,585.35us,633.80us
curated/01-literal/sherlock-zh,count,0.0.1 (rev c050f4a04c),dotnet/nobacktrack,7.0.3,,813478,110448,4.67s,27.09us,0.00ns,27.10us,329.00ns,26.16us,39.57us
curated/02-literal-alternate/sherlock-en,count,0.0.1 (rev c050f4a04c),dotnet/nobacktrack,7.0.3,,899232,9381,4.66s,318.75us,0.00ns,319.71us,5.79us,306.93us,362.69us
curated/02-literal-alternate/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),dotnet/nobacktrack,7.0.3,,899232,1311,4.61s,2.28ms,0.00ns,2.29ms,73.54us,2.19ms,2.59ms
curated/02-literal-alternate/sherlock-ru,count,0.0.1 (rev c050f4a04c),dotnet/nobacktrack,7.0.3,,1570556,2036,4.61s,1.47ms,14.00ns,1.47ms,26.14us,1.43ms,1.60ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),dotnet/nobacktrack,7.0.3,,1570556,589,4.61s,5.08ms,0.00ns,5.10ms,71.62us,4.99ms,5.41ms
curated/02-literal-alternate/sherlock-zh,count,0.0.1 (rev c050f4a04c),dotnet/nobacktrack,7.0.3,,813478,40075,4.67s,74.47us,0.00ns,74.80us,1.46us,72.72us,112.22us
curated/04-ruff-noqa/real,grep-captures,0.0.1 (rev c050f4a04c),dotnet/nobacktrack,7.0.3,,32514634,24,4.86s,126.66ms,140.11us,126.56ms,1.18ms,124.20ms,128.34ms
curated/04-ruff-noqa/tweaked,grep-captures,0.0.1 (rev c050f4a04c),dotnet/nobacktrack,7.0.3,,32514634,43,4.81s,71.53ms,0.00ns,70.99ms,1.09ms,69.07ms,72.76ms
curated/04-ruff-noqa/compile-real,compile,0.0.1 (rev c050f4a04c),dotnet/nobacktrack,7.0.3,,,5403,4.61s,413.88us,0.00ns,536.19us,369.97us,383.63us,4.13ms
curated/06-cloud-flare-redos/original,count-spans,0.0.1 (rev c050f4a04c),dotnet/nobacktrack,7.0.3,,107,372689,4.77s,7.97us,0.00ns,8.01us,3.96us,7.81us,2.32ms
curated/06-cloud-flare-redos/simplified-short,count-spans,0.0.1 (rev c050f4a04c),dotnet/nobacktrack,7.0.3,,102,1000000,1.79s,517.00ns,0.00ns,540.00ns,1.83us,483.00ns,1.69ms
curated/06-cloud-flare-redos/simplified-long,count-spans,0.0.1 (rev c050f4a04c),dotnet/nobacktrack,7.0.3,,10001,87647,4.67s,33.02us,0.00ns,34.19us,5.33us,32.56us,1.41ms
curated/07-unicode-character-data/parse-line,grep-captures,0.0.1 (rev c050f4a04c),dotnet/nobacktrack,7.0.3,,1913704,29,4.81s,106.16ms,0.00ns,106.49ms,642.85us,105.72ms,107.57ms
curated/07-unicode-character-data/compile,compile,0.0.1 (rev c050f4a04c),dotnet/nobacktrack,7.0.3,,,15026,4.61s,150.40us,0.00ns,159.01us,43.79us,144.86us,812.97us
curated/08-words/all-english,count-spans,0.0.1 (rev c050f4a04c),dotnet/nobacktrack,7.0.3,,76401,887,4.61s,2.58ms,0.00ns,3.38ms,1.48ms,2.45ms,7.50ms
curated/08-words/all-russian,count-spans,0.0.1 (rev c050f4a04c),dotnet/nobacktrack,7.0.3,,123942,763,4.61s,3.00ms,0.00ns,3.93ms,2.02ms,2.87ms,12.37ms
curated/08-words/long-english,count-spans,0.0.1 (rev c050f4a04c),dotnet/nobacktrack,7.0.3,,76401,6274,4.66s,470.64us,3.00ns,478.11us,19.12us,449.20us,579.19us
curated/08-words/long-russian,count-spans,0.0.1 (rev c050f4a04c),dotnet/nobacktrack,7.0.3,,123942,3126,4.61s,0.96ms,2.00ns,0.96ms,11.21us,945.81us,1.11ms
curated/09-aws-keys/quick,grep,0.0.1 (rev c050f4a04c),dotnet/nobacktrack,7.0.3,,32514634,65,4.76s,46.60ms,0.00ns,46.58ms,498.66us,45.80ms,47.42ms
curated/09-aws-keys/compile-quick,compile,0.0.1 (rev c050f4a04c),dotnet/nobacktrack,7.0.3,,,11149,4.61s,214.95us,0.00ns,246.02us,125.96us,206.79us,0.96ms
curated/10-bounded-repeat/letters-en,count,0.0.1 (rev c050f4a04c),dotnet/nobacktrack,7.0.3,,151522,2971,4.61s,1.01ms,0.00ns,1.01ms,28.61us,929.91us,1.11ms
curated/10-bounded-repeat/letters-ru,count,0.0.1 (rev c050f4a04c),dotnet/nobacktrack,7.0.3,,248919,1398,4.61s,2.14ms,1.00ns,2.15ms,18.21us,2.12ms,2.25ms
curated/10-bounded-repeat/context,count,0.0.1 (rev c050f4a04c),dotnet/nobacktrack,7.0.3,,7384531,23,4.66s,131.86ms,0.00ns,131.73ms,471.37us,130.72ms,132.48ms
curated/10-bounded-repeat/capitals,count,0.0.1 (rev c050f4a04c),dotnet/nobacktrack,7.0.3,,7384531,236,4.66s,12.69ms,197.00ns,12.72ms,161.78us,12.39ms,13.20ms
curated/10-bounded-repeat/compile-context,compile,0.0.1 (rev c050f4a04c),dotnet/nobacktrack,7.0.3,,,7501,4.61s,198.82us,0.00ns,212.55us,72.91us,190.21us,1.21ms
curated/10-bounded-repeat/compile-capitals,compile,0.0.1 (rev c050f4a04c),dotnet/nobacktrack,7.0.3,,,21851,4.62s,48.21us,0.00ns,51.82us,24.91us,45.65us,504.77us
curated/11-unstructured-to-json/extract,grep-captures,0.0.1 (rev c050f4a04c),dotnet/nobacktrack,7.0.3,,23952,2250,4.61s,1.33ms,6.00ns,1.33ms,9.09us,1.32ms,1.40ms
curated/11-unstructured-to-json/compile,compile,0.0.1 (rev c050f4a04c),dotnet/nobacktrack,7.0.3,,,4107,4.61s,493.72us,0.00ns,610.47us,276.14us,473.93us,1.51ms
