name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,899232,13725,4.51s,208.97us,0.00ns,218.53us,33.16us,197.47us,545.24us
curated/01-literal/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,899232,154,4.56s,19.49ms,1.35us,19.54ms,180.51us,19.25ms,20.02ms
curated/01-literal/sherlock-ru,count,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,1570556,4245,4.51s,697.04us,0.00ns,706.79us,52.50us,677.40us,1.75ms
curated/01-literal/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,1570556,66,4.56s,45.53ms,437.00ns,45.53ms,135.70us,45.15ms,45.82ms
curated/01-literal/sherlock-zh,count,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,813478,7839,4.51s,385.59us,0.00ns,382.69us,13.86us,353.75us,517.71us
curated/02-literal-alternate/sherlock-en,count,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,899232,88,4.56s,34.35ms,4.82us,34.36ms,520.31us,32.94ms,35.31ms
curated/02-literal-alternate/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,899232,55,4.56s,55.16ms,0.00ns,55.22ms,412.93us,54.63ms,56.57ms
curated/02-literal-alternate/sherlock-ru,count,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,1570556,67,4.56s,45.18ms,0.00ns,45.19ms,534.05us,43.77ms,46.52ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,1570556,18,4.56s,166.57ms,18.36us,166.76ms,884.91us,166.22ms,170.34ms
curated/02-literal-alternate/sherlock-zh,count,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,813478,179,4.56s,16.80ms,0.00ns,16.80ms,277.19us,15.96ms,17.54ms
curated/03-date/ascii,count-spans,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,268796,3,5.11s,1.01s,0.00ns,1.01s,13.02ms,1.00s,1.03s
curated/03-date/compile-ascii,compile,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,,708,4.56s,4.14ms,0.99us,3.94ms,659.70us,0.97ms,6.98ms
curated/04-ruff-noqa/real,grep-captures,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,32514634,4,5.67s,923.25ms,1.13ms,923.48ms,1.64ms,921.69ms,925.71ms
curated/04-ruff-noqa/tweaked,grep-captures,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,32514634,69,4.61s,43.03ms,0.00ns,43.60ms,2.68ms,41.17ms,57.78ms
curated/04-ruff-noqa/compile-real,compile,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,,315487,4.68s,9.06us,0.00ns,8.54us,10.66us,2.36us,500.54us
curated/05-lexer-veryl/single,count-captures,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,150600,7,5.01s,449.38ms,0.00ns,451.24ms,5.44ms,444.57ms,458.50ms
curated/05-lexer-veryl/compile-single,compile,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,,11967,4.56s,207.77us,0.00ns,204.55us,110.03us,55.55us,942.53us
curated/06-cloud-flare-redos/original,count-spans,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,107,1000000,4.55s,2.51us,0.00ns,2.52us,509.00ns,2.29us,167.24us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,102,1000000,4.30s,2.21us,0.00ns,2.27us,635.00ns,2.03us,190.49us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,10001,15249,4.51s,196.26us,0.00ns,196.71us,7.00us,185.59us,638.91us
curated/07-unicode-character-data/parse-line,grep-captures,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,1913704,95,4.61s,28.90ms,0.00ns,32.05ms,8.79ms,23.16ms,57.18ms
curated/07-unicode-character-data/compile,compile,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,,65262,4.57s,39.89us,0.00ns,42.22us,31.54us,10.32us,606.28us
curated/08-words/all-english,count-spans,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,76401,472,4.51s,5.97ms,591.00ns,6.36ms,2.29ms,3.24ms,14.51ms
curated/08-words/long-english,count-spans,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,76401,1839,4.51s,1.63ms,0.00ns,1.63ms,21.14us,1.59ms,1.89ms
curated/09-aws-keys/full,grep-captures,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,32514634,11,4.86s,283.48ms,0.00ns,282.97ms,2.62ms,278.99ms,287.33ms
curated/09-aws-keys/quick,grep,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,32514634,83,4.61s,35.91ms,0.00ns,36.29ms,2.11ms,34.09ms,46.85ms
curated/09-aws-keys/compile-full,compile,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,,44325,4.57s,64.90us,0.00ns,64.68us,47.46us,16.83us,648.01us
curated/09-aws-keys/compile-quick,compile,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,,260003,4.63s,10.00us,0.00ns,10.32us,12.45us,2.47us,635.78us
curated/10-bounded-repeat/letters-en,count,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,151522,616,4.51s,4.85ms,54.00ns,4.87ms,114.73us,4.73ms,6.74ms
curated/10-bounded-repeat/letters-ru,count,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,248919,346,4.51s,8.63ms,39.00ns,8.67ms,117.24us,8.53ms,9.51ms
curated/10-bounded-repeat/context,count,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,7384531,13,4.87s,238.88ms,0.00ns,238.81ms,877.60us,237.59ms,240.52ms
curated/10-bounded-repeat/capitals,count,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,7384531,23,4.82s,135.82ms,0.00ns,135.67ms,692.02us,134.41ms,136.80ms
curated/10-bounded-repeat/compile-context,compile,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,,32531,4.57s,74.57us,0.00ns,87.87us,63.72us,19.52us,727.75us
curated/10-bounded-repeat/compile-capitals,compile,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,,28005,4.56s,54.79us,0.00ns,66.97us,52.01us,14.15us,734.16us
curated/11-unstructured-to-json/extract,grep-captures,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,23952,10843,4.51s,274.52us,0.00ns,276.65us,16.98us,266.26us,666.83us
curated/11-unstructured-to-json/compile,compile,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,,100030,4.56s,21.25us,0.00ns,22.56us,22.71us,5.35us,502.24us
curated/12-dictionary/single,count,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,61436,29,4.66s,103.70ms,0.00ns,104.16ms,2.31ms,102.69ms,115.96ms
curated/12-dictionary/compile-single,compile,0.0.1 (rev c050f4a04c),go/regexp,1.20.3,,,197,4.56s,14.94ms,0.00ns,14.66ms,3.60ms,5.53ms,23.08ms
