name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,899232,120969,4.57s,24.35us,0.00ns,24.77us,0.97us,23.08us,49.79us
curated/01-literal/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,899232,105689,4.57s,28.27us,0.00ns,28.35us,729.00ns,26.75us,40.48us
curated/01-literal/sherlock-ru,count,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,1570556,8964,4.51s,334.14us,0.00ns,334.66us,1.81us,332.14us,352.11us
curated/01-literal/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,1570556,14929,4.56s,200.56us,0.00ns,200.92us,4.68us,192.38us,244.65us
curated/01-literal/sherlock-zh,count,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,813478,190751,4.62s,15.17us,0.00ns,15.69us,862.00ns,14.79us,22.11us
curated/02-literal-alternate/sherlock-en,count,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,899232,50637,4.57s,58.01us,0.00ns,59.21us,2.55us,56.63us,101.81us
curated/02-literal-alternate/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,899232,46982,4.57s,63.71us,0.00ns,63.82us,2.58us,58.10us,75.32us
curated/02-literal-alternate/sherlock-ru,count,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,1570556,9485,4.56s,315.42us,0.00ns,316.28us,4.33us,311.17us,361.36us
curated/02-literal-alternate/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,1570556,8107,4.56s,369.08us,0.00ns,370.04us,4.50us,360.40us,412.26us
curated/02-literal-alternate/sherlock-zh,count,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,813478,78600,4.56s,38.07us,0.00ns,38.13us,284.00ns,37.72us,46.43us
curated/03-date/ascii,count-spans,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,268796,1223,4.96s,2.45ms,0.00ns,2.45ms,17.05us,2.41ms,2.57ms
curated/03-date/compile-ascii,compile,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,,5,5.42s,649.10ms,0.00ns,647.82ms,3.06ms,642.45ms,651.26ms
curated/05-lexer-veryl/multi,count-spans,0.0.1 (rev c050f4a04c),hyperscan,5.4.1 2023-02-22,,150600,374,4.56s,8.04ms,52.00ns,8.04ms,68.74us,7.81ms,8.22ms
