name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.0.1 (rev c050f4a04c),java/hotspot,20+36-2344,,899232,7522,4.61s,392.94us,0.00ns,398.62us,27.41us,340.02us,655.71us
curated/01-literal/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),java/hotspot,20+36-2344,,899232,983,4.61s,3.04ms,0.00ns,3.05ms,39.56us,2.99ms,3.21ms
curated/01-literal/sherlock-ru,count,0.0.1 (rev c050f4a04c),java/hotspot,20+36-2344,,1570556,7488,4.66s,398.63us,5.00ns,400.45us,29.18us,366.98us,673.22us
curated/01-literal/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),java/hotspot,20+36-2344,,1570556,453,4.61s,6.63ms,0.00ns,6.63ms,72.13us,6.49ms,6.86ms
curated/01-literal/sherlock-zh,count,0.0.1 (rev c050f4a04c),java/hotspot,20+36-2344,,813478,20561,4.67s,145.33us,0.00ns,145.83us,3.03us,144.83us,339.22us
curated/02-literal-alternate/sherlock-en,count,0.0.1 (rev c050f4a04c),java/hotspot,20+36-2344,,899232,243,4.62s,12.15ms,0.00ns,12.38ms,365.08us,12.05ms,13.76ms
curated/02-literal-alternate/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),java/hotspot,20+36-2344,,899232,223,4.62s,13.31ms,0.00ns,13.48ms,496.76us,12.85ms,14.73ms
curated/02-literal-alternate/sherlock-ru,count,0.0.1 (rev c050f4a04c),java/hotspot,20+36-2344,,1570556,237,4.62s,12.50ms,0.00ns,12.68ms,400.15us,12.39ms,14.74ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),java/hotspot,20+36-2344,,1570556,113,4.62s,26.48ms,0.00ns,26.61ms,428.56us,25.98ms,28.47ms
curated/02-literal-alternate/sherlock-zh,count,0.0.1 (rev c050f4a04c),java/hotspot,20+36-2344,,813478,667,4.61s,4.40ms,0.00ns,4.50ms,250.56us,4.35ms,8.51ms
curated/03-date/ascii,count-spans,0.0.1 (rev c050f4a04c),java/hotspot,20+36-2344,,268796,24,4.72s,128.34ms,26.06us,128.31ms,188.93us,127.69ms,128.68ms
curated/03-date/unicode,count-spans,0.0.1 (rev c050f4a04c),java/hotspot,20+36-2344,,268796,19,4.66s,162.20ms,0.00ns,162.22ms,149.80us,161.95ms,162.52ms
curated/04-ruff-noqa/real,grep-captures,0.0.1 (rev c050f4a04c),java/hotspot,20+36-2344,,32514634,4,5.47s,820.42ms,2.67ms,819.54ms,9.26ms,805.91ms,831.42ms
curated/04-ruff-noqa/tweaked,grep-captures,0.0.1 (rev c050f4a04c),java/hotspot,20+36-2344,,32514634,19,5.16s,160.08ms,0.00ns,160.71ms,1.68ms,158.26ms,164.17ms
curated/05-lexer-veryl/single,count-captures,0.0.1 (rev c050f4a04c),java/hotspot,20+36-2344,,150600,130,4.61s,23.22ms,6.81us,23.15ms,409.22us,22.49ms,25.26ms
curated/06-cloud-flare-redos/original,count-spans,0.0.1 (rev c050f4a04c),java/hotspot,20+36-2344,,107,168177,4.92s,17.47us,0.00ns,17.80us,14.84us,17.27us,6.01ms
curated/06-cloud-flare-redos/simplified-short,count-spans,0.0.1 (rev c050f4a04c),java/hotspot,20+36-2344,,102,191926,4.97s,15.49us,0.00ns,15.60us,1.95us,15.14us,225.50us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.0.1 (rev c050f4a04c),java/hotspot,20+36-2344,,10001,24,4.66s,127.32ms,3.48us,127.32ms,125.96us,127.10ms,127.59ms
curated/07-unicode-character-data/parse-line,grep-captures,0.0.1 (rev c050f4a04c),java/hotspot,20+36-2344,,1913704,337,4.61s,8.91ms,0.00ns,8.92ms,200.25us,8.61ms,10.19ms
curated/08-words/all-english,count-spans,0.0.1 (rev c050f4a04c),java/hotspot,20+36-2344,,76401,3058,4.62s,0.98ms,7.00ns,0.98ms,13.87us,943.89us,1.04ms
