name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.0.1 (rev c050f4a04c),regress,0.5.0,,899232,11909,4.51s,255.12us,0.00ns,251.88us,7.90us,236.28us,274.32us
curated/01-literal/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),regress,0.5.0,,899232,4090,4.51s,732.67us,2.00ns,733.53us,5.20us,721.19us,770.34us
curated/01-literal/sherlock-ru,count,0.0.1 (rev c050f4a04c),regress,0.5.0,,1570556,7005,4.51s,427.71us,0.00ns,428.28us,9.50us,411.06us,450.19us
curated/01-literal/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),regress,0.5.0,,1570556,641,4.51s,4.68ms,0.00ns,4.68ms,21.38us,4.67ms,4.97ms
curated/01-literal/sherlock-zh,count,0.0.1 (rev c050f4a04c),regress,0.5.0,,813478,13347,4.51s,224.36us,0.00ns,224.75us,5.77us,208.91us,249.68us
curated/02-literal-alternate/sherlock-en,count,0.0.1 (rev c050f4a04c),regress,0.5.0,,899232,5488,4.51s,541.19us,1.00ns,546.70us,11.25us,531.76us,581.10us
curated/02-literal-alternate/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),regress,0.5.0,,899232,1008,4.51s,2.96ms,20.00ns,2.98ms,38.91us,2.91ms,3.08ms
curated/02-literal-alternate/sherlock-ru,count,0.0.1 (rev c050f4a04c),regress,0.5.0,,1570556,537,4.51s,5.55ms,0.00ns,5.59ms,99.14us,5.46ms,5.98ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),regress,0.5.0,,1570556,216,4.56s,13.91ms,183.00ns,13.92ms,70.67us,13.78ms,14.16ms
curated/02-literal-alternate/sherlock-zh,count,0.0.1 (rev c050f4a04c),regress,0.5.0,,813478,1022,4.51s,2.91ms,28.00ns,2.94ms,68.88us,2.84ms,3.12ms
curated/03-date/ascii,count-spans,0.0.1 (rev c050f4a04c),regress,0.5.0,,268796,23,4.71s,133.52ms,0.00ns,133.44ms,461.97us,132.45ms,134.19ms
curated/03-date/unicode,count-spans,0.0.1 (rev c050f4a04c),regress,0.5.0,,268796,23,4.71s,133.16ms,0.00ns,133.05ms,635.74us,132.07ms,134.20ms
curated/03-date/compile-ascii,compile,0.0.1 (rev c050f4a04c),regress,0.5.0,,,2231,4.51s,1.27ms,0.00ns,1.30ms,127.92us,1.16ms,1.88ms
curated/03-date/compile-unicode,compile,0.0.1 (rev c050f4a04c),regress,0.5.0,,,2239,4.51s,1.26ms,0.00ns,1.29ms,117.24us,1.15ms,1.85ms
