name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,899232,110181,4.57s,26.98us,0.00ns,27.19us,493.00ns,25.95us,50.04us
curated/01-literal/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,899232,40556,4.57s,73.63us,0.00ns,73.93us,784.00ns,73.13us,90.02us
curated/01-literal/sherlock-ru,count,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,1570556,66027,4.57s,45.27us,0.00ns,45.40us,446.00ns,44.79us,69.31us
curated/01-literal/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,1570556,18770,4.56s,159.30us,0.00ns,159.79us,2.96us,156.55us,193.06us
curated/01-literal/sherlock-zh,count,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,813478,131296,4.62s,22.80us,0.00ns,22.82us,168.00ns,22.12us,27.36us
curated/02-literal-alternate/sherlock-en,count,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,899232,45165,4.57s,66.45us,0.00ns,66.39us,861.00ns,64.67us,78.89us
curated/02-literal-alternate/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,899232,10389,4.51s,288.31us,0.00ns,288.76us,6.33us,276.40us,330.22us
curated/02-literal-alternate/sherlock-ru,count,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,1570556,13414,4.51s,221.79us,0.00ns,223.62us,4.93us,219.62us,269.05us
curated/02-literal-alternate/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,1570556,3095,4.51s,0.97ms,0.00ns,0.97ms,11.92us,945.26us,1.02ms
curated/02-literal-alternate/sherlock-zh,count,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,813478,57271,4.57s,50.40us,0.00ns,52.35us,4.16us,49.80us,66.26us
curated/03-date/ascii,count-spans,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,268796,1474,4.51s,2.04ms,8.00ns,2.04ms,25.17us,1.96ms,2.10ms
curated/03-date/unicode,count-spans,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,268796,1451,4.56s,2.07ms,0.00ns,2.07ms,25.00us,1.99ms,2.14ms
curated/03-date/compile-ascii,compile,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,,1338,4.51s,1.48ms,25.00ns,1.48ms,10.99us,1.45ms,1.51ms
curated/03-date/compile-unicode,compile,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,,432,4.56s,5.36ms,64.00ns,5.34ms,65.65us,5.16ms,5.46ms
curated/04-ruff-noqa/real,grep-captures,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,32514634,160,4.56s,18.76ms,224.00ns,18.78ms,102.62us,18.63ms,19.48ms
curated/04-ruff-noqa/tweaked,grep-captures,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,32514634,149,4.56s,20.22ms,0.00ns,20.23ms,89.57us,20.07ms,20.61ms
curated/04-ruff-noqa/compile-real,compile,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,,47994,4.57s,54.98us,0.00ns,55.06us,1.02us,51.43us,66.09us
curated/05-lexer-veryl/single,count-captures,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,150600,199,4.56s,15.13ms,0.00ns,15.13ms,34.28us,15.05ms,15.26ms
curated/05-lexer-veryl/compile-single,compile,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,,4357,4.51s,271.80us,0.00ns,272.40us,3.64us,264.29us,290.14us
curated/05-lexer-veryl/multi,count-spans,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,150600,1330,4.51s,2.27ms,99.00ns,2.26ms,35.32us,2.19ms,2.36ms
curated/06-cloud-flare-redos/original,count-spans,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,107,1000000,833.00ms,179.00ns,0.00ns,179.00ns,12.00ns,175.00ns,4.83us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.0.1 (rev c050f4a04c),rust/regex/meta,0.3.0,,102,1000000,580.33ms,53.00ns,0.00ns,54.00ns,7.00ns,49.00ns,2.15us
