name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.0.1 (rev c050f4a04c),rust/regexold,1.7.3,,899232,115660,4.57s,25.98us,0.00ns,25.90us,703.00ns,24.62us,52.47us
curated/01-literal/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),rust/regexold,1.7.3,,899232,29602,4.57s,98.96us,0.00ns,101.31us,4.25us,98.02us,128.42us
curated/01-literal/sherlock-ru,count,0.0.1 (rev c050f4a04c),rust/regexold,1.7.3,,1570556,67674,4.57s,44.16us,0.00ns,44.29us,439.00ns,43.64us,53.31us
curated/01-literal/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),rust/regexold,1.7.3,,1570556,13699,4.51s,218.76us,0.00ns,218.97us,1.40us,215.91us,232.07us
curated/01-literal/sherlock-zh,count,0.0.1 (rev c050f4a04c),rust/regexold,1.7.3,,813478,153412,4.62s,19.51us,0.00ns,19.52us,153.00ns,18.73us,28.33us
curated/02-literal-alternate/sherlock-en,count,0.0.1 (rev c050f4a04c),rust/regexold,1.7.3,,899232,50575,4.57s,60.73us,0.00ns,59.28us,4.84us,48.31us,222.62us
curated/02-literal-alternate/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),rust/regexold,1.7.3,,899232,10152,4.51s,295.51us,0.00ns,295.48us,6.07us,284.86us,338.00us
curated/02-literal-alternate/sherlock-ru,count,0.0.1 (rev c050f4a04c),rust/regexold,1.7.3,,1570556,5929,4.51s,505.99us,0.00ns,506.02us,3.84us,498.56us,529.47us
curated/02-literal-alternate/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),rust/regexold,1.7.3,,1570556,912,4.51s,3.28ms,3.00ns,3.29ms,19.01us,3.26ms,3.35ms
curated/02-literal-alternate/sherlock-zh,count,0.0.1 (rev c050f4a04c),rust/regexold,1.7.3,,813478,76268,4.57s,38.19us,0.00ns,39.30us,2.81us,37.61us,58.67us
curated/03-date/ascii,count-spans,0.0.1 (rev c050f4a04c),rust/regexold,1.7.3,,268796,1655,4.51s,1.81ms,0.00ns,1.81ms,13.72us,1.78ms,1.90ms
curated/03-date/unicode,count-spans,0.0.1 (rev c050f4a04c),rust/regexold,1.7.3,,268796,5,5.16s,628.33ms,0.00ns,628.30ms,229.14us,627.99ms,628.59ms
