name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.0.1 (rev c050f4a04c),icu,72.1.0,,899232,5570,4.51s,538.34us,1.00ns,538.59us,2.72us,532.26us,556.42us
curated/01-literal/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),icu,72.1.0,,899232,1585,4.51s,1.90ms,0.00ns,1.89ms,18.80us,1.85ms,1.94ms
curated/01-literal/sherlock-ru,count,0.0.1 (rev c050f4a04c),icu,72.1.0,,1570556,6247,4.51s,479.95us,0.00ns,480.25us,2.77us,453.62us,494.05us
curated/01-literal/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),icu,72.1.0,,1570556,563,4.51s,5.34ms,0.00ns,5.33ms,27.20us,5.25ms,5.48ms
curated/01-literal/sherlock-zh,count,0.0.1 (rev c050f4a04c),icu,72.1.0,,813478,16806,4.51s,178.82us,1.00ns,178.49us,1.23us,169.81us,193.61us
curated/02-literal-alternate/sherlock-en,count,0.0.1 (rev c050f4a04c),icu,72.1.0,,899232,2232,4.51s,1.35ms,2.00ns,1.34ms,21.14us,1.30ms,1.38ms
curated/02-literal-alternate/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),icu,72.1.0,,899232,396,4.56s,7.58ms,159.00ns,7.59ms,39.59us,7.51ms,7.84ms
curated/02-literal-alternate/sherlock-ru,count,0.0.1 (rev c050f4a04c),icu,72.1.0,,1570556,338,4.56s,8.88ms,71.00ns,8.89ms,28.18us,8.82ms,8.95ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),icu,72.1.0,,1570556,213,4.56s,14.08ms,0.00ns,14.08ms,46.05us,13.98ms,14.26ms
curated/02-literal-alternate/sherlock-zh,count,0.0.1 (rev c050f4a04c),icu,72.1.0,,813478,1299,4.56s,2.31ms,0.00ns,2.31ms,13.28us,2.26ms,2.34ms
curated/03-date/ascii,count-spans,0.0.1 (rev c050f4a04c),icu,72.1.0,,268796,4,4.96s,816.00ms,878.66us,816.22ms,1.48ms,814.57ms,818.31ms
curated/03-date/unicode,count-spans,0.0.1 (rev c050f4a04c),icu,72.1.0,,268796,4,4.91s,814.35ms,304.15us,816.13ms,4.06ms,812.76ms,823.05ms
curated/03-date/compile-ascii,compile,0.0.1 (rev c050f4a04c),icu,72.1.0,,,6540,4.51s,430.31us,1.00ns,430.76us,2.54us,423.77us,467.87us
curated/03-date/compile-unicode,compile,0.0.1 (rev c050f4a04c),icu,72.1.0,,,6545,4.51s,429.26us,0.00ns,429.78us,2.41us,421.76us,455.25us
curated/04-ruff-noqa/real,grep-captures,0.0.1 (rev c050f4a04c),icu,72.1.0,,32514634,2,4.61s,1.51s,386.48us,1.51s,386.48us,1.51s,1.51s
curated/04-ruff-noqa/tweaked,grep-captures,0.0.1 (rev c050f4a04c),icu,72.1.0,,32514634,32,4.66s,95.32ms,1.87us,95.30ms,198.06us,94.95ms,95.82ms
curated/04-ruff-noqa/compile-real,compile,0.0.1 (rev c050f4a04c),icu,72.1.0,,,505972,4.73s,5.48us,0.00ns,5.48us,75.00ns,5.26us,16.52us
curated/05-lexer-veryl/single,count-captures,0.0.1 (rev c050f4a04c),icu,72.1.0,,150600,21,4.66s,149.26ms,0.00ns,149.11ms,3.45ms,142.46ms,154.74ms
curated/05-lexer-veryl/compile-single,compile,0.0.1 (rev c050f4a04c),icu,72.1.0,,,46622,4.57s,56.56us,0.00ns,56.61us,358.00ns,55.71us,65.27us
curated/06-cloud-flare-redos/original,count-spans,0.0.1 (rev c050f4a04c),icu,72.1.0,,107,100022,4.57s,29.92us,0.00ns,29.96us,244.00ns,29.40us,37.41us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.0.1 (rev c050f4a04c),icu,72.1.0,,102,108907,4.57s,27.49us,0.00ns,27.52us,176.00ns,27.05us,33.02us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.0.1 (rev c050f4a04c),icu,72.1.0,,10001,14,4.81s,228.62ms,8.57us,228.63ms,81.37us,228.52ms,228.85ms
curated/07-unicode-character-data/parse-line,grep-captures,0.0.1 (rev c050f4a04c),icu,72.1.0,,1913704,219,4.51s,13.72ms,0.00ns,13.72ms,51.08us,13.58ms,13.90ms
curated/07-unicode-character-data/compile,compile,0.0.1 (rev c050f4a04c),icu,72.1.0,,,201908,4.62s,13.91us,0.00ns,13.93us,138.00ns,13.62us,18.98us
curated/08-words/all-english,count-spans,0.0.1 (rev c050f4a04c),icu,72.1.0,,76401,3191,4.51s,939.73us,0.00ns,940.24us,4.42us,929.00us,0.96ms
curated/08-words/all-russian,count-spans,0.0.1 (rev c050f4a04c),icu,72.1.0,,123942,2641,4.51s,1.14ms,0.00ns,1.14ms,10.01us,1.11ms,1.17ms
curated/08-words/long-english,count-spans,0.0.1 (rev c050f4a04c),icu,72.1.0,,76401,1669,4.51s,1.80ms,0.00ns,1.80ms,21.00us,1.74ms,1.85ms
curated/08-words/long-russian,count-spans,0.0.1 (rev c050f4a04c),icu,72.1.0,,123942,1401,4.51s,2.14ms,0.00ns,2.14ms,13.19us,2.11ms,2.19ms
curated/09-aws-keys/full,grep-captures,0.0.1 (rev c050f4a04c),icu,72.1.0,,32514634,19,4.86s,165.39ms,0.00ns,165.34ms,251.50us,164.80ms,165.84ms
curated/09-aws-keys/quick,grep,0.0.1 (rev c050f4a04c),icu,72.1.0,,32514634,33,4.71s,93.49ms,0.00ns,93.34ms,899.96us,91.50ms,95.01ms
curated/09-aws-keys/compile-full,compile,0.0.1 (rev c050f4a04c),icu,72.1.0,,,239715,4.62s,11.40us,0.00ns,11.42us,136.00ns,11.08us,23.26us
curated/09-aws-keys/compile-quick,compile,0.0.1 (rev c050f4a04c),icu,72.1.0,,,882652,4.94s,2.98us,0.00ns,2.98us,56.00ns,2.88us,10.00us
curated/10-bounded-repeat/letters-en,count,0.0.1 (rev c050f4a04c),icu,72.1.0,,151522,1062,4.51s,2.82ms,1.00ns,2.83ms,33.32us,2.71ms,2.94ms
curated/10-bounded-repeat/letters-ru,count,0.0.1 (rev c050f4a04c),icu,72.1.0,,248919,887,4.51s,3.38ms,0.00ns,3.38ms,37.39us,3.31ms,3.49ms
curated/10-bounded-repeat/context,count,0.0.1 (rev c050f4a04c),icu,72.1.0,,7384531,30,4.56s,100.69ms,49.48us,100.63ms,316.10us,99.88ms,101.02ms
curated/10-bounded-repeat/capitals,count,0.0.1 (rev c050f4a04c),icu,72.1.0,,7384531,114,4.56s,26.49ms,805.00ns,26.50ms,78.12us,26.27ms,26.69ms
curated/10-bounded-repeat/compile-context,compile,0.0.1 (rev c050f4a04c),icu,72.1.0,,,601801,4.78s,4.01us,0.00ns,4.02us,59.00ns,3.88us,19.44us
