name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.0.1 (rev c050f4a04c),javascript/v8,19.8.1,,899232,22232,4.62s,134.82us,0.00ns,134.69us,1.64us,131.32us,175.67us
curated/01-literal/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),javascript/v8,19.8.1,,899232,9848,4.61s,283.15us,0.00ns,304.39us,36.15us,273.44us,417.92us
curated/01-literal/sherlock-ru,count,0.0.1 (rev c050f4a04c),javascript/v8,19.8.1,,1570556,85442,4.67s,34.85us,0.00ns,34.83us,1.54us,33.53us,422.47us
curated/01-literal/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),javascript/v8,19.8.1,,1570556,6688,4.61s,448.80us,1.00ns,448.33us,9.13us,436.17us,716.57us
curated/01-literal/sherlock-zh,count,0.0.1 (rev c050f4a04c),javascript/v8,19.8.1,,813478,43143,4.62s,68.96us,0.00ns,69.33us,1.45us,67.36us,105.87us
curated/02-literal-alternate/sherlock-en,count,0.0.1 (rev c050f4a04c),javascript/v8,19.8.1,,899232,2410,4.56s,1.24ms,0.00ns,1.24ms,15.88us,1.21ms,1.49ms
curated/02-literal-alternate/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),javascript/v8,19.8.1,,899232,2343,4.56s,1.28ms,0.00ns,1.28ms,13.83us,1.25ms,1.37ms
curated/02-literal-alternate/sherlock-ru,count,0.0.1 (rev c050f4a04c),javascript/v8,19.8.1,,1570556,1885,4.61s,1.59ms,0.00ns,1.59ms,6.25us,1.57ms,1.65ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),javascript/v8,19.8.1,,1570556,1200,4.61s,2.50ms,65.00ns,2.50ms,18.76us,2.46ms,2.60ms
curated/02-literal-alternate/sherlock-zh,count,0.0.1 (rev c050f4a04c),javascript/v8,19.8.1,,813478,26043,4.62s,114.16us,0.00ns,114.98us,2.68us,112.81us,152.64us
curated/03-date/ascii,count-spans,0.0.1 (rev c050f4a04c),javascript/v8,19.8.1,,268796,367,4.56s,8.18ms,0.00ns,8.18ms,14.18us,8.16ms,8.26ms
curated/03-date/unicode,count-spans,0.0.1 (rev c050f4a04c),javascript/v8,19.8.1,,268796,333,4.61s,9.03ms,0.00ns,9.03ms,16.89us,9.00ms,9.21ms
curated/05-lexer-veryl/single,count-captures,0.0.1 (rev c050f4a04c),javascript/v8,19.8.1,,150600,111,4.61s,27.14ms,0.00ns,27.19ms,205.53us,26.92ms,28.02ms
curated/06-cloud-flare-redos/original,count-spans,0.0.1 (rev c050f4a04c),javascript/v8,19.8.1,,107,553326,4.88s,5.24us,0.00ns,5.28us,5.52us,4.87us,2.36ms
curated/06-cloud-flare-redos/simplified-short,count-spans,0.0.1 (rev c050f4a04c),javascript/v8,19.8.1,,102,562355,4.88s,5.15us,0.00ns,5.21us,11.69us,5.08us,6.00ms
curated/06-cloud-flare-redos/simplified-long,count-spans,0.0.1 (rev c050f4a04c),javascript/v8,19.8.1,,10001,103,4.61s,29.13ms,0.00ns,29.14ms,18.71us,29.11ms,29.21ms
curated/07-unicode-character-data/parse-line,grep-captures,0.0.1 (rev c050f4a04c),javascript/v8,19.8.1,,1913704,358,4.61s,8.36ms,781.00ns,8.39ms,815.78us,6.67ms,12.61ms
curated/08-words/all-english,count-spans,0.0.1 (rev c050f4a04c),javascript/v8,19.8.1,,76401,6692,4.56s,449.07us,0.00ns,448.08us,11.67us,421.09us,778.35us
curated/08-words/long-english,count-spans,0.0.1 (rev c050f4a04c),javascript/v8,19.8.1,,76401,8080,4.56s,368.18us,0.00ns,371.15us,10.54us,355.80us,575.33us
curated/09-aws-keys/full,grep-captures,0.0.1 (rev c050f4a04c),javascript/v8,19.8.1,,32514634,27,4.71s,111.01ms,0.00ns,112.20ms,5.80ms,107.96ms,133.00ms
curated/09-aws-keys/quick,grep,0.0.1 (rev c050f4a04c),javascript/v8,19.8.1,,32514634,28,4.71s,108.68ms,230.07us,110.48ms,6.90ms,99.32ms,132.18ms
curated/10-bounded-repeat/letters-en,count,0.0.1 (rev c050f4a04c),javascript/v8,19.8.1,,151522,3089,4.56s,0.97ms,0.00ns,0.97ms,6.19us,925.02us,1.02ms
curated/10-bounded-repeat/letters-ru,count,0.0.1 (rev c050f4a04c),javascript/v8,19.8.1,,248919,710,4.56s,4.23ms,260.00ns,4.23ms,56.66us,4.08ms,4.39ms
curated/10-bounded-repeat/context,count,0.0.1 (rev c050f4a04c),javascript/v8,19.8.1,,7384531,57,4.61s,52.71ms,0.00ns,52.84ms,566.75us,52.00ms,54.48ms
curated/10-bounded-repeat/capitals,count,0.0.1 (rev c050f4a04c),javascript/v8,19.8.1,,7384531,310,4.61s,9.70ms,65.00ns,9.71ms,74.70us,9.47ms,10.15ms
curated/11-unstructured-to-json/extract,grep-captures,0.0.1 (rev c050f4a04c),javascript/v8,19.8.1,,23952,124948,4.67s,23.43us,0.00ns,23.86us,13.33us,22.27us,4.27ms
curated/12-dictionary/single,count,0.0.1 (rev c050f4a04c),javascript/v8,19.8.1,,61436,2,6.37s,2.10s,4.06ms,2.10s,4.06ms,2.10s,2.10s
