name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,899232,13200,4.57s,226.71us,0.00ns,226.85us,1.54us,224.80us,347.20us
curated/01-literal/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,899232,1031,4.56s,2.90ms,0.00ns,2.91ms,42.49us,2.84ms,3.07ms
curated/01-literal/sherlock-ru,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,1570556,14159,4.56s,210.51us,0.00ns,211.22us,1.99us,208.97us,314.47us
curated/01-literal/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,1570556,905,4.56s,3.29ms,0.00ns,3.32ms,113.14us,3.25ms,4.43ms
curated/01-literal/sherlock-zh,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,813478,43890,4.57s,67.64us,0.00ns,67.97us,792.00ns,67.40us,165.72us
curated/02-literal-alternate/sherlock-en,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,899232,1507,4.56s,1.99ms,0.00ns,1.99ms,4.28us,1.97ms,2.03ms
curated/02-literal-alternate/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,899232,123,4.56s,24.46ms,0.00ns,24.43ms,261.66us,23.39ms,24.84ms
curated/02-literal-alternate/sherlock-ru,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,1570556,797,4.56s,3.77ms,0.00ns,3.77ms,36.62us,3.70ms,3.90ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,1570556,119,4.56s,25.30ms,0.00ns,25.34ms,223.37us,24.64ms,26.04ms
curated/02-literal-alternate/sherlock-zh,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,813478,3977,4.56s,753.64us,0.00ns,754.13us,2.74us,749.22us,788.58us
curated/03-date/ascii,count-spans,0.0.1 (rev c050f4a04c),python/re,3.10.10,,268796,13,4.91s,242.92ms,0.00ns,242.96ms,442.17us,242.36ms,243.92ms
curated/03-date/unicode,count-spans,0.0.1 (rev c050f4a04c),python/re,3.10.10,,268796,10,4.86s,321.45ms,21.12us,321.42ms,212.55us,321.05ms,321.77ms
curated/03-date/compile-ascii,compile,0.0.1 (rev c050f4a04c),python/re,3.10.10,,,629,4.56s,4.75ms,0.00ns,4.77ms,139.47us,4.58ms,5.37ms
curated/03-date/compile-unicode,compile,0.0.1 (rev c050f4a04c),python/re,3.10.10,,,601,4.56s,4.97ms,0.00ns,4.98ms,137.15us,4.81ms,5.58ms
curated/04-ruff-noqa/real,grep-captures,0.0.1 (rev c050f4a04c),python/re,3.10.10,,32514634,3,5.72s,1.10s,0.00ns,1.10s,2.51ms,1.10s,1.10s
curated/04-ruff-noqa/tweaked,grep-captures,0.0.1 (rev c050f4a04c),python/re,3.10.10,,32514634,11,5.16s,292.45ms,0.00ns,290.67ms,3.63ms,285.29ms,294.46ms
curated/04-ruff-noqa/compile-real,compile,0.0.1 (rev c050f4a04c),python/re,3.10.10,,,39228,4.57s,74.80us,0.00ns,74.88us,1.10us,72.28us,192.11us
curated/05-lexer-veryl/single,count-captures,0.0.1 (rev c050f4a04c),python/re,3.10.10,,150600,32,4.56s,93.95ms,503.00ns,93.97ms,201.47us,93.55ms,94.64ms
curated/05-lexer-veryl/compile-single,compile,0.0.1 (rev c050f4a04c),python/re,3.10.10,,,2600,4.56s,1.15ms,1.00ns,1.15ms,11.64us,1.11ms,1.28ms
curated/06-cloud-flare-redos/original,count-spans,0.0.1 (rev c050f4a04c),python/re,3.10.10,,107,609555,4.68s,4.60us,0.00ns,4.63us,1.17us,4.36us,887.40us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.0.1 (rev c050f4a04c),python/re,3.10.10,,102,624024,4.68s,4.48us,0.00ns,4.50us,1.09us,4.23us,834.25us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.0.1 (rev c050f4a04c),python/re,3.10.10,,10001,121,4.56s,24.28ms,0.00ns,24.83ms,1.52ms,24.26ms,30.21ms
curated/07-unicode-character-data/parse-line,grep-captures,0.0.1 (rev c050f4a04c),python/re,3.10.10,,1913704,71,4.61s,42.34ms,0.00ns,42.34ms,174.79us,41.94ms,42.88ms
curated/07-unicode-character-data/compile,compile,0.0.1 (rev c050f4a04c),python/re,3.10.10,,,22875,4.57s,129.57us,0.00ns,129.25us,2.32us,123.70us,263.91us
curated/08-words/all-english,count-spans,0.0.1 (rev c050f4a04c),python/re,3.10.10,,76401,1391,4.56s,2.16ms,0.00ns,2.16ms,13.67us,2.13ms,2.24ms
curated/08-words/all-russian,count-spans,0.0.1 (rev c050f4a04c),python/re,3.10.10,,123942,1056,4.56s,2.84ms,21.00ns,2.84ms,10.33us,2.82ms,2.93ms
curated/08-words/long-english,count-spans,0.0.1 (rev c050f4a04c),python/re,3.10.10,,76401,4614,4.56s,648.95us,2.00ns,649.89us,11.67us,632.47us,903.63us
curated/08-words/long-russian,count-spans,0.0.1 (rev c050f4a04c),python/re,3.10.10,,123942,2787,4.56s,1.07ms,0.00ns,1.08ms,13.73us,1.06ms,1.16ms
curated/09-aws-keys/full,grep-captures,0.0.1 (rev c050f4a04c),python/re,3.10.10,,32514634,10,5.16s,329.19ms,107.92us,328.90ms,2.48ms,322.97ms,333.53ms
curated/09-aws-keys/quick,grep,0.0.1 (rev c050f4a04c),python/re,3.10.10,,32514634,16,4.76s,190.28ms,26.02us,190.27ms,191.68us,189.88ms,190.59ms
curated/09-aws-keys/compile-full,compile,0.0.1 (rev c050f4a04c),python/re,3.10.10,,,14200,4.57s,208.79us,0.00ns,208.97us,2.27us,203.06us,331.75us
curated/09-aws-keys/compile-quick,compile,0.0.1 (rev c050f4a04c),python/re,3.10.10,,,58681,4.57s,49.58us,0.00ns,49.57us,1.10us,47.18us,188.58us
curated/10-bounded-repeat/letters-en,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,151522,1521,4.56s,1.97ms,0.00ns,1.97ms,13.10us,1.93ms,2.03ms
curated/10-bounded-repeat/context,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,7384531,30,4.66s,101.96ms,702.00ns,101.98ms,190.16us,101.72ms,102.45ms
curated/10-bounded-repeat/capitals,count,0.0.1 (rev c050f4a04c),python/re,3.10.10,,7384531,29,4.71s,105.72ms,0.00ns,105.87ms,783.36us,104.63ms,108.61ms
curated/10-bounded-repeat/compile-context,compile,0.0.1 (rev c050f4a04c),python/re,3.10.10,,,49948,4.57s,58.26us,0.00ns,58.34us,0.96us,56.25us,181.63us
curated/10-bounded-repeat/compile-capitals,compile,0.0.1 (rev c050f4a04c),python/re,3.10.10,,,84595,4.57s,33.32us,0.00ns,33.38us,2.53us,31.92us,739.55us
curated/11-unstructured-to-json/extract,grep-captures,0.0.1 (rev c050f4a04c),python/re,3.10.10,,23952,15515,4.56s,192.46us,0.00ns,193.00us,2.73us,184.47us,297.08us
