name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,899232,12778,4.56s,233.94us,0.00ns,234.32us,2.24us,231.61us,433.36us
curated/01-literal/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,899232,11076,4.56s,270.14us,0.00ns,270.44us,2.29us,267.67us,453.22us
curated/01-literal/sherlock-ru,count,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,1570556,9576,4.56s,312.29us,0.00ns,312.72us,2.48us,309.40us,493.21us
curated/01-literal/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,1570556,8264,4.56s,358.75us,1.00ns,362.38us,13.76us,352.11us,535.62us
curated/01-literal/sherlock-zh,count,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,813478,26851,4.57s,111.18us,0.00ns,111.32us,1.23us,110.93us,283.61us
curated/02-literal-alternate/sherlock-en,count,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,899232,1050,4.56s,2.86ms,1.00ns,2.86ms,5.44us,2.84ms,2.91ms
curated/02-literal-alternate/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,899232,242,4.56s,12.48ms,175.00ns,12.44ms,123.86us,11.92ms,12.56ms
curated/02-literal-alternate/sherlock-ru,count,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,1570556,609,4.56s,4.93ms,0.00ns,4.93ms,20.01us,4.89ms,5.06ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,1570556,173,4.61s,17.34ms,0.00ns,17.44ms,492.46us,16.75ms,18.30ms
curated/02-literal-alternate/sherlock-zh,count,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,813478,3368,4.56s,890.07us,1.00ns,890.31us,3.57us,887.29us,1.06ms
curated/03-date/ascii,count-spans,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,268796,13,4.86s,237.14ms,0.00ns,237.44ms,558.08us,236.79ms,238.44ms
curated/03-date/unicode,count-spans,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,268796,12,4.81s,261.94ms,9.54us,261.72ms,609.18us,260.61ms,262.49ms
curated/03-date/compile-ascii,compile,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,,184,4.56s,15.62ms,194.00ns,16.37ms,1.48ms,15.33ms,20.20ms
curated/03-date/compile-unicode,compile,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,,81,4.61s,36.40ms,0.00ns,37.31ms,1.69ms,36.11ms,40.86ms
curated/04-ruff-noqa/real,grep-captures,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,32514634,10,5.06s,325.78ms,60.36us,325.89ms,326.98us,325.44ms,326.56ms
curated/04-ruff-noqa/tweaked,grep-captures,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,32514634,10,5.06s,324.88ms,5.67us,324.87ms,214.02us,324.50ms,325.22ms
curated/04-ruff-noqa/compile-real,compile,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,,15527,4.56s,186.11us,0.00ns,190.94us,18.73us,180.23us,785.92us
curated/05-lexer-veryl/single,count-captures,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,150600,30,4.66s,102.21ms,5.51us,102.19ms,252.98us,101.65ms,102.71ms
curated/05-lexer-veryl/compile-single,compile,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,,762,4.56s,3.81ms,108.00ns,3.93ms,355.06us,3.73ms,5.96ms
curated/06-cloud-flare-redos/original,count-spans,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,107,181583,4.57s,16.19us,0.00ns,16.22us,1.79us,15.85us,751.08us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,102,186813,4.57s,15.71us,0.00ns,15.77us,1.99us,15.41us,840.30us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,10001,29,4.71s,106.25ms,0.00ns,106.26ms,40.00us,106.22ms,106.34ms
curated/07-unicode-character-data/parse-line,grep-captures,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,1913704,58,4.61s,52.41ms,198.00ns,52.43ms,256.93us,51.90ms,53.01ms
curated/07-unicode-character-data/compile,compile,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,,7305,4.56s,397.54us,0.00ns,407.74us,35.02us,382.19us,1.07ms
curated/08-words/all-english,count-spans,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,76401,982,4.56s,3.06ms,12.00ns,3.06ms,7.24us,3.04ms,3.09ms
curated/08-words/all-russian,count-spans,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,123942,1128,4.56s,2.66ms,5.00ns,2.66ms,8.19us,2.64ms,2.72ms
curated/08-words/long-english,count-spans,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,76401,1507,4.56s,1.99ms,0.00ns,1.99ms,7.05us,1.97ms,2.05ms
curated/08-words/long-russian,count-spans,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,123942,2526,4.56s,1.19ms,4.00ns,1.19ms,6.41us,1.18ms,1.35ms
curated/09-aws-keys/full,grep-captures,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,32514634,10,4.86s,309.98ms,20.70us,309.95ms,165.99us,309.70ms,310.23ms
curated/09-aws-keys/quick,grep,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,32514634,11,4.86s,275.24ms,0.00ns,275.24ms,284.58us,274.83ms,275.81ms
curated/09-aws-keys/compile-full,compile,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,,4279,4.56s,687.51us,0.00ns,696.39us,65.36us,643.60us,1.41ms
curated/09-aws-keys/compile-quick,compile,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,,20755,4.57s,137.99us,0.00ns,142.56us,19.21us,132.90us,767.47us
curated/10-bounded-repeat/letters-en,count,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,151522,717,4.56s,4.18ms,0.00ns,4.19ms,13.43us,4.16ms,4.27ms
curated/10-bounded-repeat/letters-ru,count,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,248919,948,4.56s,3.16ms,5.00ns,3.17ms,13.75us,3.14ms,3.26ms
curated/10-bounded-repeat/context,count,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,7384531,15,4.86s,209.42ms,0.00ns,209.44ms,92.41us,209.31ms,209.64ms
curated/10-bounded-repeat/capitals,count,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,7384531,116,4.56s,25.99ms,1.40us,26.00ms,91.98us,25.82ms,26.26ms
curated/10-bounded-repeat/compile-context,compile,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,,19647,4.57s,150.25us,0.00ns,150.39us,2.15us,146.05us,364.00us
curated/10-bounded-repeat/compile-capitals,compile,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,,38118,4.57s,76.19us,0.00ns,76.27us,1.27us,74.03us,255.81us
curated/11-unstructured-to-json/extract,grep-captures,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,23952,16042,4.56s,186.46us,0.00ns,186.64us,3.47us,178.05us,368.68us
curated/11-unstructured-to-json/compile,compile,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,,10377,4.56s,278.91us,0.00ns,285.52us,25.84us,267.33us,884.39us
curated/12-dictionary/single,count,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,61436,8,5.31s,423.16ms,193.48us,424.03ms,2.24ms,422.63ms,429.85ms
curated/12-dictionary/compile-single,compile,0.0.1 (rev c050f4a04c),python/regex,2023.3.23,,,26,4.56s,115.89ms,123.33us,116.09ms,1.40ms,113.74ms,118.99ms
