name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.0.1 (rev c050f4a04c),rust/regex/lite,0.1.0,,899232,278,4.51s,10.81ms,106.00ns,10.82ms,48.25us,10.73ms,11.04ms
curated/01-literal/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),rust/regex/lite,0.1.0,,899232,196,4.56s,15.34ms,173.00ns,15.34ms,107.91us,15.07ms,15.67ms
curated/01-literal/sherlock-ru,count,0.0.1 (rev c050f4a04c),rust/regex/lite,0.1.0,,1570556,237,4.56s,12.69ms,0.00ns,12.69ms,99.06us,12.47ms,13.14ms
curated/01-literal/sherlock-zh,count,0.0.1 (rev c050f4a04c),rust/regex/lite,0.1.0,,813478,641,4.56s,4.69ms,0.00ns,4.69ms,53.64us,4.55ms,5.07ms
curated/02-literal-alternate/sherlock-en,count,0.0.1 (rev c050f4a04c),rust/regex/lite,0.1.0,,899232,118,4.56s,25.39ms,4.25us,25.45ms,361.08us,24.83ms,26.56ms
curated/02-literal-alternate/sherlock-casei-en,count,0.0.1 (rev c050f4a04c),rust/regex/lite,0.1.0,,899232,82,4.56s,36.67ms,8.73us,36.69ms,204.22us,36.28ms,37.15ms
curated/02-literal-alternate/sherlock-ru,count,0.0.1 (rev c050f4a04c),rust/regex/lite,0.1.0,,1570556,106,4.56s,28.56ms,196.00ns,28.55ms,197.13us,28.00ms,29.03ms
curated/02-literal-alternate/sherlock-zh,count,0.0.1 (rev c050f4a04c),rust/regex/lite,0.1.0,,813478,289,4.56s,10.39ms,0.00ns,10.40ms,102.11us,10.20ms,11.03ms
curated/03-date/ascii,count-spans,0.0.1 (rev c050f4a04c),rust/regex/lite,0.1.0,,268796,11,4.61s,275.54ms,0.00ns,275.53ms,379.96us,274.63ms,276.07ms
curated/03-date/compile-ascii,compile,0.0.1 (rev c050f4a04c),rust/regex/lite,0.1.0,,,2267,4.51s,301.29us,0.00ns,301.33us,3.55us,290.42us,318.69us
curated/04-ruff-noqa/real,grep-captures,0.0.1 (rev c050f4a04c),rust/regex/lite,0.1.0,,32514634,3,5.21s,1.03s,0.00ns,1.03s,705.99us,1.02s,1.03s
curated/04-ruff-noqa/tweaked,grep-captures,0.0.1 (rev c050f4a04c),rust/regex/lite,0.1.0,,32514634,6,4.81s,529.36ms,27.70us,529.26ms,311.83us,528.58ms,529.54ms
curated/04-ruff-noqa/compile-real,compile,0.0.1 (rev c050f4a04c),rust/regex/lite,0.1.0,,,1000000,4.79s,1.97us,0.00ns,1.98us,77.00ns,1.74us,9.11us
curated/05-lexer-veryl/single,count-captures,0.0.1 (rev c050f4a04c),rust/regex/lite,0.1.0,,150600,11,4.91s,290.65ms,0.00ns,290.86ms,833.73us,290.21ms,293.44ms
curated/05-lexer-veryl/compile-single,compile,0.0.1 (rev c050f4a04c),rust/regex/lite,0.1.0,,,7191,4.51s,37.98us,0.00ns,38.07us,517.00ns,36.68us,43.37us
curated/06-cloud-flare-redos/original,count-spans,0.0.1 (rev c050f4a04c),rust/regex/lite,0.1.0,,107,568934,4.78s,5.20us,0.00ns,5.24us,172.00ns,4.93us,10.50us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.0.1 (rev c050f4a04c),rust/regex/lite,0.1.0,,102,677871,4.84s,4.39us,0.00ns,4.40us,166.00ns,4.05us,86.30us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.0.1 (rev c050f4a04c),rust/regex/lite,0.1.0,,10001,6866,4.51s,436.00us,1.00ns,436.92us,6.71us,422.86us,481.31us
curated/07-unicode-character-data/parse-line,grep-captures,0.0.1 (rev c050f4a04c),rust/regex/lite,0.1.0,,1913704,50,4.61s,60.75ms,2.02us,60.79ms,233.08us,60.36ms,61.31ms
curated/07-unicode-character-data/compile,compile,0.0.1 (rev c050f4a04c),rust/regex/lite,0.1.0,,,395929,4.67s,4.15us,0.00ns,4.15us,91.00ns,3.78us,10.13us
curated/08-words/all-english,count-spans,0.0.1 (rev c050f4a04c),rust/regex/lite,0.1.0,,76401,1341,4.51s,2.23ms,0.00ns,2.24ms,53.48us,2.14ms,2.45ms
curated/08-words/long-english,count-spans,0.0.1 (rev c050f4a04c),rust/regex/lite,0.1.0,,76401,1914,4.51s,1.57ms,15.00ns,1.57ms,14.14us,1.51ms,1.64ms
curated/09-aws-keys/full,grep-captures,0.0.1 (rev c050f4a04c),rust/regex/lite,0.1.0,,32514634,2,5.97s,1.97s,812.82us,1.97s,812.82us,1.97s,1.97s
curated/09-aws-keys/quick,grep,0.0.1 (rev c050f4a04c),rust/regex/lite,0.1.0,,32514634,4,5.06s,838.42ms,363.98us,837.90ms,4.22ms,831.46ms,843.29ms
curated/09-aws-keys/compile-full,compile,0.0.1 (rev c050f4a04c),rust/regex/lite,0.1.0,,,106231,4.57s,8.46us,0.00ns,8.51us,1.28us,8.07us,90.01us
curated/09-aws-keys/compile-quick,compile,0.0.1 (rev c050f4a04c),rust/regex/lite,0.1.0,,,1000000,4.89s,1.52us,0.00ns,1.52us,52.00ns,1.36us,4.90us
