name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.0.1 (rev 661a26bd76),dotnet/compiled,7.0.3,,899232,50934,4.61s,58.76us,0.00ns,58.82us,540.00ns,56.40us,85.30us
curated/01-literal/sherlock-casei-en,count,0.0.1 (rev 661a26bd76),dotnet/compiled,7.0.3,,899232,21799,4.62s,137.22us,0.00ns,137.51us,1.99us,135.01us,168.89us
curated/01-literal/sherlock-ru,count,0.0.1 (rev 661a26bd76),dotnet/compiled,7.0.3,,1570556,46817,4.61s,63.85us,0.00ns,63.99us,656.00ns,60.82us,81.56us
curated/01-literal/sherlock-casei-ru,count,0.0.1 (rev 661a26bd76),dotnet/compiled,7.0.3,,1570556,10314,4.61s,290.27us,0.00ns,290.71us,2.68us,284.72us,321.03us
curated/01-literal/sherlock-zh,count,0.0.1 (rev 661a26bd76),dotnet/compiled,7.0.3,,813478,156408,4.67s,19.07us,0.00ns,19.12us,449.00ns,17.01us,28.49us
curated/02-literal-alternate/sherlock-en,count,0.0.1 (rev 661a26bd76),dotnet/compiled,7.0.3,,899232,13283,4.61s,225.02us,0.00ns,225.72us,3.22us,223.73us,269.42us
curated/02-literal-alternate/sherlock-casei-en,count,0.0.1 (rev 661a26bd76),dotnet/compiled,7.0.3,,899232,1595,4.61s,1.88ms,0.00ns,1.88ms,8.71us,1.86ms,1.92ms
curated/02-literal-alternate/sherlock-ru,count,0.0.1 (rev 661a26bd76),dotnet/compiled,7.0.3,,1570556,4180,4.61s,736.88us,0.00ns,717.56us,31.90us,659.91us,768.57us
curated/02-literal-alternate/sherlock-casei-ru,count,0.0.1 (rev 661a26bd76),dotnet/compiled,7.0.3,,1570556,1548,4.61s,1.95ms,18.00ns,1.94ms,25.94us,1.90ms,2.01ms
curated/02-literal-alternate/sherlock-zh,count,0.0.1 (rev 661a26bd76),dotnet/compiled,7.0.3,,813478,65572,4.67s,45.17us,0.00ns,45.68us,1.22us,44.30us,66.26us
curated/03-date/ascii,count-spans,0.0.1 (rev 661a26bd76),dotnet/compiled,7.0.3,,268796,14,4.91s,225.94ms,105.68us,227.63ms,8.08ms,212.12ms,243.70ms
curated/03-date/unicode,count-spans,0.0.1 (rev 661a26bd76),dotnet/compiled,7.0.3,,268796,13,4.96s,242.65ms,0.00ns,241.92ms,3.54ms,230.38ms,245.93ms
curated/03-date/compile-unicode,compile,0.0.1 (rev 661a26bd76),dotnet/compiled,7.0.3,,,67,4.61s,1.64ms,0.00ns,2.37ms,1.99ms,1.57ms,11.53ms
curated/04-ruff-noqa/real,grep-captures,0.0.1 (rev 661a26bd76),dotnet/compiled,7.0.3,,32514634,16,5.01s,198.87ms,53.65us,198.96ms,355.61us,198.38ms,199.66ms
