name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.0.1 (rev 661a26bd76),pcre2/jit,10.42 2022-12-11,,899232,93859,4.57s,31.91us,0.00ns,31.93us,581.00ns,30.57us,64.98us
curated/01-literal/sherlock-casei-en,count,0.0.1 (rev 661a26bd76),pcre2/jit,10.42 2022-12-11,,899232,59514,4.57s,50.14us,0.00ns,50.37us,1.56us,46.74us,64.73us
curated/01-literal/sherlock-ru,count,0.0.1 (rev 661a26bd76),pcre2/jit,10.42 2022-12-11,,1570556,64835,4.57s,46.09us,0.00ns,46.23us,1.03us,43.47us,58.85us
curated/01-literal/sherlock-casei-ru,count,0.0.1 (rev 661a26bd76),pcre2/jit,10.42 2022-12-11,,1570556,38800,4.57s,76.64us,0.00ns,77.27us,1.75us,74.86us,97.78us
curated/01-literal/sherlock-zh,count,0.0.1 (rev 661a26bd76),pcre2/jit,10.42 2022-12-11,,813478,147420,4.62s,20.41us,0.00ns,20.32us,352.00ns,17.84us,31.33us
curated/02-literal-alternate/sherlock-en,count,0.0.1 (rev 661a26bd76),pcre2/jit,10.42 2022-12-11,,899232,5254,4.51s,576.44us,0.00ns,570.98us,14.16us,540.02us,603.90us
curated/02-literal-alternate/sherlock-casei-en,count,0.0.1 (rev 661a26bd76),pcre2/jit,10.42 2022-12-11,,899232,2286,4.51s,1.31ms,11.00ns,1.31ms,19.59us,1.27ms,1.39ms
curated/02-literal-alternate/sherlock-ru,count,0.0.1 (rev 661a26bd76),pcre2/jit,10.42 2022-12-11,,1570556,2352,4.51s,1.27ms,2.00ns,1.28ms,20.60us,1.25ms,1.33ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.0.1 (rev 661a26bd76),pcre2/jit,10.42 2022-12-11,,1570556,595,4.51s,5.04ms,0.00ns,5.05ms,31.37us,4.98ms,5.20ms
curated/02-literal-alternate/sherlock-zh,count,0.0.1 (rev 661a26bd76),pcre2/jit,10.42 2022-12-11,,813478,9572,4.51s,313.03us,0.00ns,313.39us,1.40us,310.82us,327.50us
