name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,899232,24929,4.51s,119.94us,0.00ns,120.31us,2.46us,115.13us,148.79us
curated/01-literal/sherlock-casei-en,count,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,899232,2998,4.51s,1.00ms,2.00ns,1.00ms,6.64us,0.98ms,1.03ms
curated/01-literal/sherlock-ru,count,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,1570556,5,6.02s,746.54ms,0.00ns,746.98ms,1.27ms,745.28ms,748.64ms
curated/01-literal/sherlock-casei-ru,count,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,1570556,4,4.71s,773.10ms,32.49us,773.19ms,808.39us,772.15ms,774.42ms
curated/01-literal/sherlock-zh,count,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,813478,216,4.56s,13.92ms,674.00ns,13.91ms,129.82us,13.66ms,14.28ms
curated/02-literal-alternate/sherlock-en,count,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,899232,3061,4.51s,0.98ms,0.00ns,0.98ms,8.72us,947.30us,1.03ms
curated/02-literal-alternate/sherlock-casei-en,count,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,899232,554,4.51s,5.43ms,173.00ns,5.42ms,74.02us,5.10ms,5.89ms
curated/02-literal-alternate/sherlock-ru,count,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,1570556,4,5.46s,906.44ms,734.16us,906.20ms,2.34ms,902.75ms,909.18ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,1570556,4,5.87s,0.97s,543.36us,0.97s,1.39ms,0.97s,0.98s
curated/02-literal-alternate/sherlock-zh,count,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,813478,33,4.66s,92.12ms,0.00ns,92.18ms,453.76us,91.25ms,93.06ms
curated/03-date/ascii,count-spans,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,268796,12,4.81s,264.08ms,34.96us,264.19ms,340.67us,263.86ms,265.01ms
curated/03-date/unicode,count-spans,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,268796,2,4.56s,1.52s,1.40ms,1.52s,1.40ms,1.52s,1.52s
curated/03-date/compile-ascii,compile,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,,23397,4.51s,120.95us,0.00ns,121.55us,3.09us,117.45us,143.36us
curated/03-date/compile-unicode,compile,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,,20666,4.51s,138.26us,0.00ns,138.85us,3.24us,135.25us,180.63us
curated/04-ruff-noqa/real,grep-captures,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,32514634,13,4.96s,244.78ms,0.00ns,245.15ms,1.47ms,242.55ms,247.61ms
curated/04-ruff-noqa/tweaked,grep-captures,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,32514634,138,4.56s,21.88ms,518.00ns,21.89ms,50.43us,21.80ms,22.09ms
curated/04-ruff-noqa/compile-real,compile,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,,1000000,3.14s,1.12us,0.00ns,1.12us,34.00ns,1.07us,7.10us
curated/05-lexer-veryl/single,count-captures,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,150600,59,4.61s,51.47ms,0.00ns,51.46ms,136.39us,51.21ms,51.92ms
curated/05-lexer-veryl/compile-single,compile,0.0.1 (rev 661a26bd76),pcre2,10.42 2022-12-11,,,109427,4.57s,24.80us,0.00ns,24.89us,526.00ns,24.23us,31.08us
