name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.0.1 (rev 661a26bd76),perl,5.36.0,,899232,10219,4.51s,292.82us,0.00ns,292.86us,1.52us,289.88us,319.94us
curated/01-literal/sherlock-casei-en,count,0.0.1 (rev 661a26bd76),perl,5.36.0,,899232,1947,4.51s,1.54ms,0.00ns,1.54ms,8.88us,1.53ms,1.59ms
curated/01-literal/sherlock-ru,count,0.0.1 (rev 661a26bd76),perl,5.36.0,,1570556,6782,4.56s,438.23us,2.00ns,441.50us,9.32us,428.53us,477.90us
curated/01-literal/sherlock-casei-ru,count,0.0.1 (rev 661a26bd76),perl,5.36.0,,1570556,198,4.56s,15.18ms,307.00ns,15.18ms,45.13us,15.07ms,15.30ms
curated/01-literal/sherlock-zh,count,0.0.1 (rev 661a26bd76),perl,5.36.0,,813478,30140,4.57s,98.26us,0.00ns,98.81us,2.04us,95.80us,111.81us
curated/02-literal-alternate/sherlock-en,count,0.0.1 (rev 661a26bd76),perl,5.36.0,,899232,3804,4.56s,787.88us,1.00ns,788.00us,4.09us,776.89us,851.77us
curated/02-literal-alternate/sherlock-casei-en,count,0.0.1 (rev 661a26bd76),perl,5.36.0,,899232,400,4.56s,7.51ms,16.00ns,7.52ms,23.07us,7.46ms,7.63ms
curated/02-literal-alternate/sherlock-ru,count,0.0.1 (rev 661a26bd76),perl,5.36.0,,1570556,248,4.56s,12.12ms,247.00ns,12.13ms,55.87us,12.06ms,12.39ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.0.1 (rev 661a26bd76),perl,5.36.0,,1570556,156,4.56s,19.33ms,318.00ns,19.33ms,52.74us,19.21ms,19.49ms
curated/02-literal-alternate/sherlock-zh,count,0.0.1 (rev 661a26bd76),perl,5.36.0,,813478,815,4.51s,3.68ms,0.00ns,3.68ms,18.70us,3.62ms,3.86ms
curated/03-date/ascii,count-spans,0.0.1 (rev 661a26bd76),perl,5.36.0,,268796,33,4.56s,90.91ms,0.00ns,90.93ms,293.83us,90.47ms,91.57ms
curated/04-ruff-noqa/real,grep-captures,0.0.1 (rev 661a26bd76),perl,5.36.0,,32514634,10,4.66s,301.70ms,4.14us,301.66ms,472.75us,300.65ms,302.44ms
curated/04-ruff-noqa/tweaked,grep-captures,0.0.1 (rev 661a26bd76),perl,5.36.0,,32514634,13,4.76s,232.43ms,0.00ns,232.40ms,263.04us,231.68ms,232.76ms
curated/05-lexer-veryl/single,count-captures,0.0.1 (rev 661a26bd76),perl,5.36.0,,150600,24,4.61s,127.02ms,3.88us,126.99ms,244.04us,126.55ms,127.39ms
curated/06-cloud-flare-redos/original,count-spans,0.0.1 (rev 661a26bd76),perl,5.36.0,,107,286366,4.57s,9.78us,0.00ns,9.87us,380.00ns,9.15us,18.44us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.0.1 (rev 661a26bd76),perl,5.36.0,,102,291277,4.57s,9.66us,0.00ns,9.70us,263.00ns,9.05us,17.02us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.0.1 (rev 661a26bd76),perl,5.36.0,,10001,55,4.61s,55.39ms,0.00ns,55.40ms,108.95us,55.26ms,56.01ms
curated/07-unicode-character-data/parse-line,grep-captures,0.0.1 (rev 661a26bd76),perl,5.36.0,,1913704,39,4.66s,78.40ms,0.00ns,78.43ms,202.31us,78.12ms,78.82ms
curated/08-words/all-english,count-spans,0.0.1 (rev 661a26bd76),perl,5.36.0,,76401,560,4.56s,5.37ms,35.00ns,5.37ms,16.93us,5.31ms,5.43ms
curated/08-words/all-russian,count-spans,0.0.1 (rev 661a26bd76),perl,5.36.0,,123942,1,6.92s,3.45s,0.00ns,3.45s,0.00ns,3.45s,3.45s
curated/08-words/long-english,count-spans,0.0.1 (rev 661a26bd76),perl,5.36.0,,76401,4320,4.51s,693.68us,2.00ns,693.91us,6.87us,675.55us,761.92us
curated/08-words/long-russian,count-spans,0.0.1 (rev 661a26bd76),perl,5.36.0,,123942,47,4.56s,64.76ms,0.00ns,64.76ms,10.50us,64.75ms,64.80ms
curated/09-aws-keys/full,grep-captures,0.0.1 (rev 661a26bd76),perl,5.36.0,,32514634,11,5.16s,294.74ms,0.00ns,294.95ms,7.59ms,278.19ms,313.69ms
curated/09-aws-keys/quick,grep,0.0.1 (rev 661a26bd76),perl,5.36.0,,32514634,14,4.86s,223.48ms,71.53us,224.82ms,7.16ms,209.42ms,246.06ms
curated/10-bounded-repeat/letters-en,count,0.0.1 (rev 661a26bd76),perl,5.36.0,,151522,1427,4.51s,2.10ms,0.00ns,2.10ms,27.74us,2.05ms,2.30ms
curated/10-bounded-repeat/letters-ru,count,0.0.1 (rev 661a26bd76),perl,5.36.0,,248919,633,4.51s,4.74ms,0.00ns,4.75ms,19.98us,4.71ms,4.89ms
curated/10-bounded-repeat/context,count,0.0.1 (rev 661a26bd76),perl,5.36.0,,7384531,38,4.61s,79.79ms,0.96us,79.78ms,200.12us,79.27ms,80.19ms
curated/10-bounded-repeat/capitals,count,0.0.1 (rev 661a26bd76),perl,5.36.0,,7384531,93,4.56s,32.39ms,0.00ns,32.38ms,344.42us,31.49ms,33.27ms
curated/11-unstructured-to-json/extract,grep-captures,0.0.1 (rev 661a26bd76),perl,5.36.0,,23952,19155,4.51s,155.43us,0.00ns,155.92us,1.68us,152.71us,172.86us
curated/12-dictionary/single,count,0.0.1 (rev 661a26bd76),perl,5.36.0,,61436,6719,4.51s,445.06us,0.00ns,445.90us,4.48us,436.24us,466.60us
curated/14-quadratic/1x,count,0.0.1 (rev 661a26bd76),perl,5.36.0,,100,75605,4.57s,38.95us,0.00ns,39.05us,433.00ns,38.34us,47.74us
curated/14-quadratic/2x,count,0.0.1 (rev 661a26bd76),perl,5.36.0,,200,25629,4.57s,116.19us,0.00ns,116.44us,926.00ns,114.87us,127.33us
curated/14-quadratic/10x,count,0.0.1 (rev 661a26bd76),perl,5.36.0,,1000,1411,4.51s,2.13ms,0.00ns,2.13ms,7.82us,2.11ms,2.17ms
