name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.0.1 (rev 661a26bd76),re2,2023-03-01,,899232,37320,4.57s,80.29us,0.00ns,80.35us,2.26us,75.66us,98.98us
curated/01-literal/sherlock-casei-en,count,0.0.1 (rev 661a26bd76),re2,2023-03-01,,899232,8820,4.51s,339.08us,0.00ns,340.13us,2.91us,332.79us,358.29us
curated/01-literal/sherlock-ru,count,0.0.1 (rev 661a26bd76),re2,2023-03-01,,1570556,1522,4.51s,1.96ms,1.00ns,1.97ms,30.20us,1.95ms,2.07ms
curated/01-literal/sherlock-casei-ru,count,0.0.1 (rev 661a26bd76),re2,2023-03-01,,1570556,1891,4.51s,1.59ms,0.00ns,1.59ms,3.54us,1.58ms,1.61ms
curated/01-literal/sherlock-zh,count,0.0.1 (rev 661a26bd76),re2,2023-03-01,,813478,10812,4.51s,277.33us,0.00ns,277.45us,888.00ns,275.41us,286.98us
curated/02-literal-alternate/sherlock-en,count,0.0.1 (rev 661a26bd76),re2,2023-03-01,,899232,3228,4.51s,928.65us,1.00ns,929.35us,2.16us,925.89us,0.95ms
curated/02-literal-alternate/sherlock-casei-en,count,0.0.1 (rev 661a26bd76),re2,2023-03-01,,899232,3164,4.51s,947.97us,0.00ns,948.42us,1.95us,944.55us,0.97ms
curated/02-literal-alternate/sherlock-ru,count,0.0.1 (rev 661a26bd76),re2,2023-03-01,,1570556,1835,4.51s,1.64ms,0.00ns,1.64ms,2.01us,1.63ms,1.66ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.0.1 (rev 661a26bd76),re2,2023-03-01,,1570556,1823,4.51s,1.65ms,0.00ns,1.65ms,1.87us,1.64ms,1.66ms
curated/02-literal-alternate/sherlock-zh,count,0.0.1 (rev 661a26bd76),re2,2023-03-01,,813478,3730,4.51s,803.54us,1.00ns,804.39us,1.89us,802.00us,816.22us
curated/03-date/ascii,count-spans,0.0.1 (rev 661a26bd76),re2,2023-03-01,,268796,883,4.51s,3.40ms,0.00ns,3.40ms,31.18us,3.32ms,3.53ms
curated/03-date/compile-ascii,compile,0.0.1 (rev 661a26bd76),re2,2023-03-01,,,1722,4.51s,1.15ms,5.00ns,1.15ms,7.22us,1.11ms,1.18ms
curated/04-ruff-noqa/real,grep-captures,0.0.1 (rev 661a26bd76),re2,2023-03-01,,32514634,52,4.61s,58.22ms,5.90us,58.22ms,226.06us,57.74ms,58.71ms
curated/04-ruff-noqa/tweaked,grep-captures,0.0.1 (rev 661a26bd76),re2,2023-03-01,,32514634,69,4.61s,43.88ms,0.00ns,43.87ms,173.64us,43.55ms,44.54ms
curated/04-ruff-noqa/compile-real,compile,0.0.1 (rev 661a26bd76),re2,2023-03-01,,,194983,4.62s,7.73us,0.00ns,7.74us,162.00ns,7.15us,14.31us
curated/05-lexer-veryl/single,count-captures,0.0.1 (rev 661a26bd76),re2,2023-03-01,,150600,25,4.66s,121.39ms,0.00ns,121.98ms,1.07ms,120.94ms,123.76ms
curated/05-lexer-veryl/compile-single,compile,0.0.1 (rev 661a26bd76),re2,2023-03-01,,,11321,4.51s,149.70us,0.00ns,149.82us,4.21us,137.73us,177.30us
curated/06-cloud-flare-redos/original,count-spans,0.0.1 (rev 661a26bd76),re2,2023-03-01,,107,1000000,1.14s,294.00ns,0.00ns,295.00ns,16.00ns,287.00ns,2.44us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.0.1 (rev 661a26bd76),re2,2023-03-01,,102,1000000,1.19s,293.00ns,0.00ns,295.00ns,17.00ns,286.00ns,5.01us
