name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
captures/contiguous-letters,count-captures,0.0.1 (rev 8c6edf6843),rust/regex,1.9.0,,61436,561,4.51s,5.35ms,0.00ns,5.35ms,88.06us,5.15ms,5.61ms
curated/01-literal/sherlock-en,count,0.0.1 (rev 8c6edf6843),rust/regex,1.9.0,,899232,113130,4.57s,26.42us,0.00ns,26.49us,324.00ns,25.27us,32.60us
curated/01-literal/sherlock-casei-en,count,0.0.1 (rev 8c6edf6843),rust/regex,1.9.0,,899232,40221,4.56s,74.26us,0.00ns,74.54us,667.00ns,73.66us,93.92us
curated/01-literal/sherlock-ru,count,0.0.1 (rev 8c6edf6843),rust/regex,1.9.0,,1570556,65933,4.57s,45.08us,0.00ns,45.46us,822.00ns,44.52us,54.31us
curated/01-literal/sherlock-casei-ru,count,0.0.1 (rev 8c6edf6843),rust/regex,1.9.0,,1570556,18505,4.52s,161.41us,0.00ns,162.09us,3.42us,157.72us,199.13us
curated/01-literal/sherlock-zh,count,0.0.1 (rev 8c6edf6843),rust/regex,1.9.0,,813478,154986,4.62s,18.99us,0.00ns,19.32us,451.00ns,18.73us,38.26us
curated/02-literal-alternate/sherlock-en,count,0.0.1 (rev 8c6edf6843),rust/regex,1.9.0,,899232,44976,4.56s,66.65us,0.00ns,66.66us,1.10us,64.48us,81.11us
curated/02-literal-alternate/sherlock-casei-en,count,0.0.1 (rev 8c6edf6843),rust/regex,1.9.0,,899232,10265,4.51s,292.06us,0.00ns,292.23us,6.61us,279.06us,339.04us
curated/02-literal-alternate/sherlock-ru,count,0.0.1 (rev 8c6edf6843),rust/regex,1.9.0,,1570556,13557,4.51s,219.63us,0.00ns,221.27us,4.93us,216.74us,266.18us
curated/02-literal-alternate/sherlock-casei-ru,count,0.0.1 (rev 8c6edf6843),rust/regex,1.9.0,,1570556,3043,4.51s,0.98ms,0.00ns,0.99ms,17.05us,949.25us,1.10ms
curated/02-literal-alternate/sherlock-zh,count,0.0.1 (rev 8c6edf6843),rust/regex,1.9.0,,813478,54190,4.56s,52.29us,0.00ns,55.32us,4.28us,51.12us,67.81us
curated/03-date/ascii,count-spans,0.0.1 (rev 8c6edf6843),rust/regex,1.9.0,,268796,1905,4.51s,1.57ms,0.00ns,1.58ms,11.93us,1.54ms,1.66ms
