name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.0.1 (rev 8c6edf6843),rust/regexinit,1.0.0,,899232,88285,4.56s,33.84us,0.00ns,33.95us,653.00ns,32.81us,44.88us
curated/01-literal/sherlock-casei-en,count,0.0.1 (rev 8c6edf6843),rust/regexinit,1.0.0,,899232,9776,4.51s,300.55us,0.00ns,306.85us,9.51us,298.66us,332.92us
curated/01-literal/sherlock-ru,count,0.0.1 (rev 8c6edf6843),rust/regexinit,1.0.0,,1570556,132872,4.57s,22.43us,0.00ns,22.54us,697.00ns,21.48us,41.27us
curated/01-literal/sherlock-casei-ru,count,0.0.1 (rev 8c6edf6843),rust/regexinit,1.0.0,,1570556,1512,4.51s,1.98ms,1.00ns,1.98ms,6.19us,1.98ms,2.04ms
curated/01-literal/sherlock-zh,count,0.0.1 (rev 8c6edf6843),rust/regexinit,1.0.0,,813478,26726,4.57s,111.24us,0.00ns,112.22us,2.08us,108.96us,136.32us
curated/02-literal-alternate/sherlock-en,count,0.0.1 (rev 8c6edf6843),rust/regexinit,1.0.0,,899232,2690,4.51s,1.11ms,1.00ns,1.12ms,2.88us,1.11ms,1.16ms
curated/02-literal-alternate/sherlock-casei-en,count,0.0.1 (rev 8c6edf6843),rust/regexinit,1.0.0,,899232,2577,4.51s,1.16ms,0.00ns,1.16ms,3.57us,1.16ms,1.21ms
curated/02-literal-alternate/sherlock-ru,count,0.0.1 (rev 8c6edf6843),rust/regexinit,1.0.0,,1570556,1536,4.51s,1.95ms,0.00ns,1.95ms,3.88us,1.95ms,2.00ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.0.1 (rev 8c6edf6843),rust/regexinit,1.0.0,,1570556,1394,4.51s,2.15ms,11.00ns,2.15ms,10.31us,2.14ms,2.21ms
curated/02-literal-alternate/sherlock-zh,count,0.0.1 (rev 8c6edf6843),rust/regexinit,1.0.0,,813478,2960,4.51s,1.01ms,2.00ns,1.01ms,5.36us,1.01ms,1.06ms
curated/03-date/ascii,count-spans,0.0.1 (rev 8c6edf6843),rust/regexinit,1.0.0,,268796,1672,4.51s,1.79ms,4.00ns,1.80ms,17.37us,1.76ms,1.89ms
curated/03-date/unicode,count-spans,0.0.1 (rev 8c6edf6843),rust/regexinit,1.0.0,,268796,5,5.32s,632.13ms,0.00ns,652.79ms,28.66ms,631.52ms,704.34ms
curated/03-date/compile-ascii,compile,0.0.1 (rev 8c6edf6843),rust/regexinit,1.0.0,,,1418,4.51s,1.88ms,27.00ns,1.87ms,26.57us,1.79ms,1.92ms
curated/03-date/compile-unicode,compile,0.0.1 (rev 8c6edf6843),rust/regexinit,1.0.0,,,508,4.51s,5.42ms,12.00ns,5.52ms,178.73us,5.35ms,5.90ms
curated/04-ruff-noqa/real,grep-captures,0.0.1 (rev 8c6edf6843),rust/regexinit,1.0.0,,32514634,42,4.66s,72.90ms,1.38us,72.92ms,208.74us,72.53ms,73.51ms
curated/04-ruff-noqa/tweaked,grep-captures,0.0.1 (rev 8c6edf6843),rust/regexinit,1.0.0,,32514634,154,4.56s,19.54ms,1.44us,19.55ms,104.93us,19.36ms,20.02ms
curated/04-ruff-noqa/compile-real,compile,0.0.1 (rev 8c6edf6843),rust/regexinit,1.0.0,,,50278,4.56s,53.94us,0.00ns,54.03us,945.00ns,51.11us,76.07us
curated/05-lexer-veryl/single,count-captures,0.0.1 (rev 8c6edf6843),rust/regexinit,1.0.0,,150600,5,4.76s,588.89ms,0.00ns,600.56ms,14.77ms,588.29ms,618.92ms
