name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
captures/contiguous-letters,count-captures,0.1.0 (rev cb76889b90),rust/regex,1.11.0,,61436,218,4.56s,13.19ms,130.88us,13.80ms,1.90ms,12.64ms,25.81ms
curated/01-literal/sherlock-en,count,0.1.0 (rev cb76889b90),lean,v4.15.0-ae0c91a2,,899232,14,4.81s,223.33ms,4.46ms,227.12ms,8.89ms,217.31ms,246.52ms
curated/01-literal/sherlock-en,count,0.1.0 (rev cb76889b90),rust/regex,1.11.0,,899232,62414,4.57s,44.64us,160.00ns,47.93us,11.38us,43.72us,513.23us
curated/01-literal/sherlock-en,count,0.1.0 (rev cb76889b90),rust/regex/lite,0.1.6,,899232,85,4.56s,34.70ms,490.62us,35.41ms,1.94ms,33.89ms,44.15ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev cb76889b90),rust/regex,1.11.0,,899232,12805,4.56s,215.91us,621.00ns,234.14us,53.05us,212.52us,1.42ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev cb76889b90),rust/regex/lite,0.1.6,,899232,90,4.56s,32.05ms,480.93us,33.54ms,2.85ms,31.43ms,44.04ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev cb76889b90),lean,v4.15.0-ae0c91a2,,1570556,13,4.66s,229.41ms,6.50ms,231.27ms,13.10ms,216.40ms,258.72ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev cb76889b90),rust/regex,1.11.0,,1570556,35974,4.56s,74.50us,366.00ns,83.25us,25.30us,72.86us,727.14us
curated/01-literal/sherlock-ru,count,0.1.0 (rev cb76889b90),rust/regex/lite,0.1.6,,1570556,101,4.56s,29.01ms,253.83us,29.78ms,1.88ms,28.50ms,36.33ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev cb76889b90),rust/regex,1.11.0,,1570556,6296,4.56s,447.76us,17.02us,476.38us,102.73us,424.40us,2.35ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev cb76889b90),lean,v4.15.0-ae0c91a2,,813478,35,4.61s,83.84ms,1.54ms,85.80ms,5.91ms,81.85ms,105.17ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev cb76889b90),rust/regex,1.11.0,,813478,86427,4.62s,29.87us,232.00ns,34.56us,12.13us,29.30us,863.97us
curated/01-literal/sherlock-zh,count,0.1.0 (rev cb76889b90),rust/regex/lite,0.1.6,,813478,259,4.56s,11.21ms,151.58us,11.64ms,0.97ms,10.92ms,15.81ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev cb76889b90),lean,v4.15.0-ae0c91a2,,899232,5,5.86s,736.50ms,9.47ms,727.71ms,18.67ms,705.15ms,745.97ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev cb76889b90),rust/regex,1.11.0,,899232,14342,4.56s,197.33us,340.00ns,209.03us,37.09us,194.28us,0.97ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev cb76889b90),rust/regex/lite,0.1.6,,899232,45,4.66s,66.31ms,1.14ms,68.34ms,5.42ms,64.23ms,86.34ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev cb76889b90),rust/regex,1.11.0,,899232,4816,4.56s,597.44us,15.70us,622.80us,90.17us,573.32us,3.23ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev cb76889b90),rust/regex/lite,0.1.6,,899232,34,4.71s,88.85ms,1.66ms,90.75ms,3.87ms,86.89ms,98.72ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev cb76889b90),lean,v4.15.0-ae0c91a2,,1570556,4,4.66s,755.74ms,32.72ms,761.58ms,40.68ms,717.29ms,817.56ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev cb76889b90),rust/regex,1.11.0,,1570556,5656,4.51s,499.53us,15.30us,530.27us,101.50us,479.76us,1.65ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev cb76889b90),rust/regex/lite,0.1.6,,1570556,39,4.56s,74.98ms,5.95ms,77.37ms,9.46ms,67.97ms,110.63ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev cb76889b90),rust/regex,1.11.0,,1570556,1739,4.56s,1.64ms,69.66us,1.73ms,260.21us,1.55ms,4.12ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev cb76889b90),lean,v4.15.0-ae0c91a2,,813478,11,4.96s,279.13ms,6.67ms,286.43ms,12.93ms,272.46ms,312.31ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev cb76889b90),rust/regex,1.11.0,,813478,16876,4.56s,160.43us,1.21us,177.54us,48.46us,156.92us,1.85ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev cb76889b90),rust/regex/lite,0.1.6,,813478,110,4.56s,26.40ms,1.33ms,27.32ms,2.60ms,24.56ms,37.20ms
curated/03-date/ascii,count-spans,0.1.0 (rev cb76889b90),lean,v4.15.0-ae0c91a2,,268796,1,20.70s,10.21s,0.00ns,10.21s,0.00ns,10.21s,10.21s
curated/03-date/ascii,count-spans,0.1.0 (rev cb76889b90),rust/regex,1.11.0,,268796,725,4.56s,4.03ms,61.90us,4.14ms,347.01us,3.94ms,8.65ms
curated/03-date/ascii,count-spans,0.1.0 (rev cb76889b90),rust/regex/lite,0.1.6,,268796,5,5.36s,663.49ms,1.56ms,667.40ms,13.85ms,652.43ms,693.65ms
curated/03-date/unicode,count-spans,0.1.0 (rev cb76889b90),lean,v4.15.0-ae0c91a2,,268796,1,20.24s,10.11s,0.00ns,10.11s,0.00ns,10.11s,10.11s
curated/03-date/unicode,count-spans,0.1.0 (rev cb76889b90),rust/regex,1.11.0,,268796,703,4.56s,4.07ms,87.08us,4.27ms,539.36us,3.94ms,8.90ms
curated/03-date/compile-ascii,compile,0.1.0 (rev cb76889b90),rust/regex,1.11.0,,,554,4.51s,3.26ms,98.64us,3.41ms,396.59us,3.08ms,7.65ms
curated/03-date/compile-ascii,compile,0.1.0 (rev cb76889b90),rust/regex/lite,0.1.6,,,1183,4.51s,808.82us,33.55us,845.43us,136.73us,713.20us,2.36ms
curated/03-date/compile-unicode,compile,0.1.0 (rev cb76889b90),rust/regex,1.11.0,,,172,4.56s,12.98ms,431.58us,13.42ms,1.42ms,12.09ms,21.62ms
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev cb76889b90),rust/regex,1.11.0,,32514634,73,4.71s,40.56ms,243.47us,41.62ms,2.20ms,40.20ms,48.76ms
